domain,last_analysis_date,last_analysis_stats.harmless,last_analysis_stats.malicious,last_analysis_stats.suspicious,last_analysis_stats.timeout,last_analysis_stats.undetected,total_votes.harmless,total_votes.malicious
imbbk3238g.xyz,1681373054,0,0,0,0,86,0,0
imbbk323q.xyz,1681373005,0,0,0,0,86,0,0
imgg6625p.xyz,1682391065,64,0,1,0,22,0,0
imgg6629p.xyz,1682535782,64,0,1,0,22,0,0
imgg6633p.xyz,1682064215,0,0,0,0,86,0,0
imgg6666p.xyz,1682064197,0,0,0,0,86,0,0
imgg6679p.xyz,1682514626,66,0,0,0,21,0,0
lta-sg.shop,1682323980,0,0,0,0,86,0,0
product-assign.com,1682337226,65,0,0,0,22,0,0
sgpaydbs.life,1683220500,50,18,0,0,19,0,0
ubuymarketing.today,1680768277,0,0,0,0,86,0,0
simonshop.com,1683018828,64,1,0,0,22,0,0
squarefrescosolutions-aos.com,1682409713,0,0,0,0,86,0,0
duxapphome-furniture.com,1682480168,60,7,0,0,20,0,0
otyqhol.shop,,0,0,0,0,86,0,0
smart2copytrader.com,1682345287,0,0,0,0,86,0,0
tkcpropertykeyss.com,1682343536,0,0,0,0,86,0,0
hokaaushoes.com,1682342696,66,0,0,0,21,0,0
miravia-gn.com,1679041470,0,0,0,0,86,0,0
igt-sg.club,1683530870,0,0,0,0,86,0,0
kds-sg.club,1683513050,0,0,0,0,86,0,0
ocbctemasek.com,1682472503,60,6,0,0,21,0,0
sogoeatsp.com,1683360195,63,0,0,0,24,0,0
singpaorepolice.info,1683505658,0,0,0,0,86,0,0
385280a.com,1682397701,0,0,0,0,86,0,0
blackstonein.com,1682079136,67,0,0,0,20,0,0
fywwk2688.xyz,1681891461,0,0,0,0,86,0,0
kaneka.cc,1680282435,0,0,0,0,86,0,0
onemotoringd-lta.shop,1682496223,0,0,0,0,86,0,0
calkdr.org,1683238814,64,2,0,0,21,0,0
reservation75386.cloud,1682237044,0,0,0,0,86,0,0
sogoeatsp.net,1682409010,0,0,0,0,86,0,0
squarefrescosolutions-online.com,1682064257,0,0,0,0,86,0,0
straightnorthbase.com,1682409729,0,0,0,0,86,0,0
lta-sg.info,1682496279,0,0,0,0,86,0,0
lta-sg.life,1682496282,0,0,0,0,86,0,0
ajinomoto-sg-frozen-foods.sitey.me,1682393708,0,0,0,0,86,0,0
scatop.biz,1683525466,0,0,0,0,86,0,0
dbsbanksg.online,1682649557,55,12,0,0,20,0,0
ltuys.com,1682693680,0,0,0,0,86,0,0
paylahapps.life,1682649557,50,19,0,0,18,0,0
squarefrescosolutions.works,1682409733,65,0,0,0,22,0,0
vmi1286762.contaboserver.net,1682759040,57,13,0,0,17,0,0
wepaydcs.top,1682496308,50,19,0,0,18,0,0
ltgos.com,1682693602,64,0,1,0,22,0,0
sgpayapp.life,1682649541,49,20,0,0,18,0,0
gobooktable.world,1682824871,55,11,0,0,21,0,0
mountainhardwearsingapore.com,1682411126,64,0,0,0,23,0,0
sgpayapps.top,1682649535,49,20,0,0,18,0,0
dbsbanking.life,1682649512,48,20,0,0,19,0,0
duxhome-furniture.com,1682651160,67,0,0,0,20,0,0
onemotoring-lta-gov-sg.cc,1682436893,64,2,0,0,21,0,0
vivobarefootshoesg.com,1683264323,54,14,0,0,19,0,0
zaubao.com,1677830795,0,0,0,0,86,0,0
huobinut.com,1682693515,0,0,0,0,86,0,0
hxia5.vip,1682425420,66,0,0,0,21,0,0
singteio.top,1682496317,0,0,0,0,86,0,0
wunderfauks-enhance.com,1682496321,0,0,0,0,86,0,0
huobi-486.com,1682693632,63,0,1,0,23,0,0
shop.ee-fr.com,1683504729,56,10,0,0,21,0,0
lebton.info,1682496268,0,0,0,0,86,0,0
151869.com,1682512526,66,0,0,0,21,0,0
hachi-service.com,1682481414,66,0,0,0,21,0,0
imgg6699p.xyz,1682481513,0,0,0,0,86,0,0
verzdesign-pro.com,1682409775,0,0,0,0,86,0,0
deluxe-home-furniture.com,1681200257,0,0,0,0,86,0,0
furniture-homes.com,1682357374,65,0,0,0,22,0,0
furnitureappdeluxe.com,1682259061,62,4,0,0,21,0,0
cfresfurniture.com,1681637331,0,0,0,0,86,0,0
corpdbs.com,1682649385,62,4,0,0,21,0,0
djaipiby.com,1682482821,67,0,0,0,20,0,0
ebay-singapore.com,1682566914,55,12,0,0,20,0,0
fywwk2677.xyz,1681891519,0,0,0,0,86,0,0
imgg6612p.xyz,1683504909,0,0,0,0,86,0,0
imgg6618p.xyz,1683504909,0,0,0,0,86,0,0
obpublicity.com,1682236937,0,0,0,0,86,0,0
squarefrescosolutions-world.com,1682496234,0,0,0,0,86,0,0
straightnorthsubmit.com,1682409707,0,0,0,0,86,0,0
todomobile-aim.net,1681286636,0,0,0,0,86,0,0
wunderfauks.net,1682356713,64,0,0,0,23,0,0
applications-hachi.com,1682323333,0,0,0,0,86,0,0
dlions.info,1682496325,57,0,0,0,31,0,0
hachi-application.com,1682323313,0,0,0,0,86,0,0
hachi-web.com,1682494467,65,0,0,0,22,0,0
hws-hachi.com,1682323312,0,0,0,0,86,0,0
ilo1x5.top,1682653820,61,5,0,0,21,0,0
inlk2e.top,1682740888,58,7,0,0,22,0,0
ocdigitalnetwork-advance.com,1682409763,0,0,0,0,86,0,0
ocdigitalnetwork-api.com,1682409785,0,0,0,0,86,0,0
ocdigitalnetwork-link.com,1682323339,0,0,0,0,86,0,0
ocdigitalnetwork-theresa.com,1682409754,0,0,0,0,86,0,0
ocdigitalnetwork-tiffany.com,1682409784,0,0,0,0,86,0,0
