ip,country,isp,asn_name,asn_number,asn_netname
1.0.0.1,US,APNIC Research and Development,CLOUDFLARENET,13335,APNIC-LABS
1.237.15.91,KR,SK Broadband Co Ltd,SKB-AS,9318,SK Broadband Co Ltd
10.0.0.138,ZZ,,,,PRIVATE-ADDRESS-ABLK-RFC1918-IANA-RESERVED
101.32.104.41,SG,Shenzhen Tencent Computer Systems Company Limited,TENCENT-NET-AP-CN,132203,ACEVILLEPTELTD-SG
101.32.133.53,SG,Shenzhen Tencent Computer Systems Company Limited,TENCENT-NET-AP-CN,132203,ACEVILLEPTELTD-SG
101.32.169.145,SG,Shenzhen Tencent Computer Systems Company Limited,TENCENT-NET-AP-CN,132203,ACEVILLEPTELTD-SG
101.32.178.31,HK,Shenzhen Tencent Computer Systems Company Limited,TENCENT-NET-AP-CN,132203,ACEVILLEPTELTD-SG
101.32.225.196,TH,Shenzhen Tencent Computer Systems Company Limited,TENCENT-NET-AP-CN,132203,ACEVILLEPTELTD-SG
103.145.13.97,FI,ABC Consultancy,SQUITTER-NETWORKS,213371,PEENQ-NL-02
103.178.232.12,VN,Viet Digital Technology Liability Company,DVS-AS-VN,135918,PHUONGTRAN-VN
103.211.230.18,SG,Aofei Data International Company Limited,AOFEI-HK,135391,AOFEI-SG
103.224.182.246,US,Trellian Pty. Limited,TRELLIAN-AS-AP,133618,TRELLIAN-AU
103.224.182.250,US,Trellian Pty. Limited,TRELLIAN-AS-AP,133618,TRELLIAN-AU
103.224.182.253,US,Trellian Pty. Limited,TRELLIAN-AS-AP,133618,TRELLIAN-AU
103.224.212.219,US,TRELLIAN,TRELLIAN-AS-AP,133618,TRELLIAN-AU
103.224.212.222,US,TRELLIAN,TRELLIAN-AS-AP,133618,TRELLIAN-AU
103.31.232.194,ID,PT. Usaha Adisanggoro,ASNET-AS-ID,55701,AS-NET-ID
104.149.135.6,US,Psychz Networks,AS40676,40676,PSYCHZ-NETWORKS
104.160.25.75,US,Inter Connects Inc,AS-46805,46805,us
104.166.188.242,NL,Zenlayer Inc,,,US-ZENLAYER-20140814
104.17.107.108,US,American Registry Internet Numbers,CLOUDFLARENET,13335,CLOUDFLARENET
104.17.108.108,US,American Registry Internet Numbers,CLOUDFLARENET,13335,CLOUDFLARENET
104.192.3.74,US,DataWagon LLC,DATAWAGON,27176,NET-104-192-0-0-1
104.238.198.186,US,United Technology Services Group Inc.,UTSG-30139,30139,UTSG
