,domain,blocklist_addition_date
0,singpass.gonapp.net,8/4/2023 10:01
1,fy86vip99.xyz,8/4/2023 10:01
2,lazada-ph.com,8/4/2023 10:01
3,sgxgroupapp.top,8/4/2023 10:01
4,sgxgroupapp.xyz,8/4/2023 10:01
5,shopee899.top,8/4/2023 10:01
6,shopee988.top,8/4/2023 10:01
7,iras-online.com,8/4/2023 10:01
8,shoptk-sg.net,8/4/2023 10:01
9,tiktok-x1.com,8/4/2023 10:01
10,tiktok-x2.com,8/4/2023 10:01
11,sg-shoptk.net,8/4/2023 10:01
12,singaporepoolsdeluxe.com,8/4/2023 10:01
13,rfi-sgp.com,8/4/2023 10:01
14,deutsche-track-post.com,8/4/2023 10:01
15,subtradeit.site,8/4/2023 10:01
16,sgcrypto.net,8/4/2023 10:01
17,prospdfd.shop,8/4/2023 12:28
18,tiktok-x3.com,8/4/2023 12:28
19,tiktok-x4.com,8/4/2023 12:28
20,tiktok-x5.com,8/4/2023 12:28
21,wedbs.top,8/4/2023 13:20
22,dbsbank.buzz,8/4/2023 14:45
23,getdbs.top,8/4/2023 14:45
24,sgbackfinder.com,8/4/2023 15:40
25,zen-cohen.62-210-168-142.plesk.page,8/4/2023 15:40
26,dbsbank.one,8/4/2023 16:31
27,dbsbank.top,8/4/2023 16:31
28,backfindersg.com,8/4/2023 17:58
29,fractaldigital-seo.com,8/4/2023 17:58
30,judymuncy.com,8/4/2023 17:58
31,neueaktien.com,8/4/2023 20:13
32,ipixel-seo.com,8/4/2023 21:40
33,magical-austin.62-210-168-142.plesk.page,8/4/2023 21:40
34,carousell.delivery-hub.info,8/4/2023 21:55
35,carousell.paymentlink.info,8/4/2023 21:55
36,hustoresg2-download34.shop,8/4/2023 21:55
37,bbasud.com,9/4/2023 8:01
38,fy8556vip.xyz,9/4/2023 8:01
39,hustoresg1-dlapp12.shop,9/4/2023 8:01
40,ipixel-applications.com,9/4/2023 8:01
41,sgk-via.com,9/4/2023 8:01
42,sgk-vs.com,9/4/2023 8:01
43,appodeel.com,9/4/2023 8:01
44,for-tollos.com,9/4/2023 16:00
