,domain,blocklist_addition_date
0,binance-sgd-club.pages.dev,8/3/2023 8:29
1,caruopay-sg-point.firebaseapp.com,8/3/2023 8:29
2,laoergood.cn,8/3/2023 8:29
3,police088762sg.homes,8/3/2023 8:29
4,unovb.com,8/3/2023 9:32
5,azttcall.com,8/3/2023 13:12
6,katongcredit.online,8/3/2023 13:12
7,infinite110.com,8/3/2023 13:12
8,topnotchdezignsevolve.com,8/3/2023 13:12
9,tylysp.com,8/3/2023 13:12
10,ubisoftu.cc,8/3/2023 13:12
11,zaobao-hit.com,8/3/2023 13:12
12,zaobao-viral.com,8/3/2023 13:12
13,zaobaosgd.com,8/3/2023 13:12
14,aprankseer.com,8/3/2023 17:33
15,intelegain2-summaries.com,8/3/2023 17:33
16,ink-ur.xyz,8/3/2023 17:33
17,redaygovip.com,8/3/2023 17:33
18,tattach.top,8/3/2023 17:33
19,mozaicaura.com,8/3/2023 17:33
20,scinpv.vip,8/3/2023 17:33
21,se1ha5pxml.web.app,8/3/2023 17:33
22,sg1qu7wxio.web.app,8/3/2023 17:33
23,ssr1ht2ddi.web.app,8/3/2023 17:33
24,guessoutletsingapore.com,8/3/2023 17:33
25,zaobaosng.com,8/3/2023 17:33
26,zaobaoviral.com,8/3/2023 17:33
27,zaobaovirals.com,8/3/2023 17:33
28,zaobaoviralsg.com,8/3/2023 17:33
29,zaobaoviralsgd.com,8/3/2023 17:33
30,loads19421.online,8/3/2023 20:12
31,dbs-ibannking-webdigital.com,8/3/2023 20:12
32,impact-gi.com,8/3/2023 20:12
33,bittrex-sg.com,8/3/2023 21:45
34,bittrex-sgl.com,8/3/2023 21:45
35,barbourjacket-singapore.com,9/3/2023 8:43
36,bbew3.com,9/3/2023 8:43
37,de4d3.com,9/3/2023 8:43
38,desigual-singapore.com,9/3/2023 8:43
39,gymsharksale-singapore.com,9/3/2023 8:43
40,ioehh.com,9/3/2023 8:43
41,kappasingaporeoutlets.com,9/3/2023 8:43
42,miumiusingaporesale.com,9/3/2023 8:43
43,ninewestsingaporeoutlet.com,9/3/2023 8:43
44,pdji3.com,9/3/2023 8:43
45,philiatradingltd.com,9/3/2023 8:43
46,vg213.com,9/3/2023 8:43
47,golashoessingapore.com,9/3/2023 8:43
48,tevasandals-singapore.com,9/3/2023 8:43
49,central-on9.world,9/3/2023 13:32
