,ip_address,country,isp,asn_name,asn_number,asn_netname
0,1.0.0.1,US,APNIC Research and Development,CLOUDFLARENET,13335.0,APNIC-LABS
1,1.237.15.91,KR,SK Broadband Co Ltd,SKB-AS,9318.0,SK Broadband Co Ltd
2,10.0.0.138,ZZ,,,,PRIVATE-ADDRESS-ABLK-RFC1918-IANA-RESERVED
3,101.32.104.41,SG,Shenzhen Tencent Computer Systems Company Limited,TENCENT-NET-AP-CN,132203.0,ACEVILLEPTELTD-SG
4,101.32.133.53,SG,Shenzhen Tencent Computer Systems Company Limited,TENCENT-NET-AP-CN,132203.0,ACEVILLEPTELTD-SG
5,101.32.169.145,SG,Shenzhen Tencent Computer Systems Company Limited,TENCENT-NET-AP-CN,132203.0,ACEVILLEPTELTD-SG
6,101.32.178.31,HK,Shenzhen Tencent Computer Systems Company Limited,TENCENT-NET-AP-CN,132203.0,ACEVILLEPTELTD-SG
7,101.32.225.196,TH,Shenzhen Tencent Computer Systems Company Limited,TENCENT-NET-AP-CN,132203.0,ACEVILLEPTELTD-SG
8,103.145.13.97,FI,ABC Consultancy,SQUITTER-NETWORKS,213371.0,PEENQ-NL-02
9,103.178.232.12,VN,Viet Digital Technology Liability Company,DVS-AS-VN,135918.0,PHUONGTRAN-VN
10,103.211.230.18,SG,Aofei Data International Company Limited,AOFEI-HK,135391.0,AOFEI-SG
11,103.224.182.246,US,Trellian Pty. Limited,TRELLIAN-AS-AP,133618.0,TRELLIAN-AU
12,103.224.182.250,US,Trellian Pty. Limited,TRELLIAN-AS-AP,133618.0,TRELLIAN-AU
13,103.224.182.253,US,Trellian Pty. Limited,TRELLIAN-AS-AP,133618.0,TRELLIAN-AU
14,103.224.212.219,US,TRELLIAN,TRELLIAN-AS-AP,133618.0,TRELLIAN-AU
15,103.224.212.222,US,TRELLIAN,TRELLIAN-AS-AP,133618.0,TRELLIAN-AU
16,103.31.232.194,ID,PT. Usaha Adisanggoro,ASNET-AS-ID,55701.0,AS-NET-ID
