,ip_address,c2_ip,c2_maltype
0,157.240.217.34,45.15.156.165,['aurora']
1,165.21.111.140,45.15.156.165,['aurora']
2,17.253.61.214,45.15.156.165,['aurora']
3,34.149.70.70,45.15.156.165,['aurora']
4,52.42.202.237,45.15.156.165,['aurora']
5,142.250.181.99,45.15.156.165,['aurora']
6,104.17.24.14,45.15.156.165,['aurora']
7,18.154.132.78,45.15.156.165,['aurora']
8,162.247.241.4,45.15.156.165,['aurora']
9,165.21.111.146,45.15.156.165,['aurora']
10,64.247.193.152,45.15.156.165,['aurora']
11,35.241.53.87,45.15.156.165,['aurora']
12,151.101.1.69,45.15.156.165,['aurora']
13,17.248.164.10,45.15.156.165,['aurora']
14,142.251.10.104,45.15.156.165,['aurora']
15,8.2.111.196,45.15.156.165,['aurora']
16,20.210.238.181,45.15.156.165,['aurora']
17,13.33.92.161,45.15.156.165,['aurora']
18,52.84.251.4,45.15.156.165,['aurora']
19,23.211.140.139,45.15.156.165,['aurora']
20,18.235.218.125,45.15.156.165,['aurora']
21,114.116.237.206,45.15.156.165,['aurora']
22,17.248.164.75,45.15.156.165,['aurora']
23,192.229.232.222,45.15.156.165,['aurora']
24,52.39.104.193,45.15.156.165,['aurora']
25,54.179.246.117,45.15.156.165,['aurora']
26,172.253.118.188,45.15.156.165,['aurora']
27,157.240.217.60,45.15.156.165,['aurora']
28,23.52.171.121,45.15.156.165,['aurora']
29,157.240.7.36,45.15.156.165,['aurora']
30,13.64.73.29,45.15.156.165,['aurora']
31,172.217.194.109,45.15.156.165,['aurora']
32,2.17.28.131,45.15.156.165,['aurora']
33,13.33.88.90,45.15.156.165,['aurora']
34,120.233.33.225,45.15.156.165,['aurora']
35,18.138.167.228,45.15.156.165,['aurora']
36,142.251.10.94,45.15.156.165,['aurora']
37,52.109.124.63,45.15.156.165,['aurora']
38,52.167.17.97,45.15.156.165,['aurora']
39,54.191.42.158,45.15.156.165,['aurora']
40,35.186.224.25,45.15.156.165,['aurora']
41,163.181.42.228,45.15.156.165,['aurora']
42,52.98.50.18,45.15.156.165,['aurora']
43,18.179.219.117,45.15.156.165,['aurora']
44,34.110.179.88,45.15.156.165,['aurora']
45,40.126.35.64,45.15.156.165,['aurora']
46,54.230.112.44,45.15.156.165,['aurora']
47,23.220.203.32,45.15.156.165,['aurora']
48,52.22.113.121,45.15.156.165,['aurora']
49,47.52.53.113,45.15.156.165,['aurora']
50,157.240.7.175,45.15.156.165,['aurora']
51,52.182.143.211,45.15.156.165,['aurora']
52,209.54.181.4,45.15.156.165,['aurora']
53,35.171.148.218,45.15.156.165,['aurora']
54,47.241.97.200,45.15.156.165,['aurora']
55,13.224.250.85,45.15.156.165,['aurora']
56,203.119.169.89,45.15.156.165,['aurora']
57,129.204.192.162,45.15.156.165,['aurora']
58,136.243.134.97,45.15.156.165,['aurora']
59,34.200.158.177,45.15.156.165,['aurora']
60,35.244.0.250,45.15.156.165,['aurora']
61,104.18.12.173,45.15.156.165,['aurora']
62,167.82.86.73,45.15.156.165,['aurora']
63,47.91.14.67,45.15.156.165,['aurora']
64,43.156.222.216,45.15.156.165,['aurora']
65,150.109.27.18,45.15.156.165,['aurora']
66,74.125.68.100,45.15.156.165,['aurora']
67,89.149.212.33,45.15.156.165,['aurora']
68,47.246.110.129,45.15.156.165,['aurora']
69,156.59.239.203,45.15.156.165,['aurora']
70,111.223.64.91,45.15.156.165,['aurora']
71,64.233.170.154,45.15.156.165,['aurora']
72,8.214.77.212,45.15.156.165,['aurora']
73,20.42.73.25,45.15.156.165,['aurora']
74,101.32.118.25,45.15.156.165,['aurora']
75,104.18.191.136,45.15.156.165,['aurora']
76,54.192.150.83,45.15.156.165,['aurora']
77,192.0.77.2,45.15.156.165,['aurora']
78,3.105.237.249,45.15.156.165,['aurora']
79,104.18.43.158,45.15.156.165,['aurora']
80,62.138.21.14,45.15.156.165,['aurora']
81,23.209.46.25,45.15.156.165,['aurora']
82,40.99.8.194,45.15.156.165,['aurora']
83,103.229.206.241,45.15.156.165,['aurora']
84,3.232.144.130,45.15.156.165,['aurora']
85,13.224.250.48,45.15.156.165,['aurora']
86,192.229.237.101,45.15.156.165,['aurora']
87,147.75.95.77,45.15.156.165,['aurora']
88,149.154.167.151,45.15.156.165,['aurora']
89,44.210.197.203,45.15.156.165,['aurora']
90,172.253.118.138,45.15.156.165,['aurora']
91,103.10.124.123,45.15.156.165,['aurora']
92,5.9.89.121,45.15.156.165,['aurora']
93,74.125.68.188,45.15.156.165,['aurora']
94,13.33.33.61,45.15.156.165,['aurora']
95,207.65.33.78,45.15.156.165,['aurora']
96,74.125.24.106,45.15.156.165,['aurora']
97,165.21.100.88,45.15.156.165,['aurora']
98,52.168.117.169,45.15.156.165,['aurora']
99,103.10.124.124,45.15.156.165,['aurora']
100,35.162.161.22,45.15.156.165,['aurora']
101,34.227.209.134,45.15.156.165,['aurora']
102,13.248.182.215,45.15.156.165,['aurora']
103,104.26.8.169,45.15.156.165,['aurora']
104,139.45.197.230,45.15.156.165,['aurora']
105,52.98.84.98,45.15.156.165,['aurora']
106,20.42.65.90,45.15.156.165,['aurora']
107,52.163.126.196,45.15.156.165,['aurora']
108,3.219.146.176,45.15.156.165,['aurora']
109,74.125.68.108,45.15.156.165,['aurora']
110,52.79.200.76,45.15.156.165,['aurora']
111,117.18.232.173,45.15.156.165,['aurora']
112,13.224.250.69,45.15.156.165,['aurora']
113,104.193.88.123,45.15.156.165,['aurora']
114,13.33.33.96,45.15.156.165,['aurora']
115,52.179.216.235,45.15.156.165,['aurora']
116,52.221.42.235,45.15.156.165,['aurora']
117,203.117.34.142,45.15.156.165,['aurora']
118,157.240.235.175,45.15.156.165,['aurora']
