,ip_address,c2_ip,c2_maltype
0,74.125.24.157,112.29.180.11,['deimos']
1,61.133.52.174,112.29.180.11,['deimos']
2,150.109.91.61,112.29.180.11,['deimos']
3,211.93.212.180,112.29.180.11,['deimos']
4,101.226.27.233,112.29.180.11,['deimos']
5,164.90.101.132,112.29.180.11,['deimos']
6,211.93.211.206,112.29.180.11,['deimos']
7,74.125.200.156,112.29.180.11,['deimos']
8,125.56.199.32,112.29.180.11,['deimos']
9,43.152.143.154,112.29.180.11,['deimos']
10,156.59.238.1,112.29.180.11,['deimos']
11,172.217.194.94,112.29.180.11,['deimos']
12,142.251.12.103,112.29.180.11,['deimos']
13,13.227.254.46,112.29.180.11,['deimos']
14,157.240.15.37,112.29.180.11,['deimos']
15,23.220.203.16,112.29.180.11,['deimos']
16,17.248.154.38,112.29.180.11,['deimos']
17,122.228.102.52,112.29.180.11,['deimos']
18,20.189.173.9,112.29.180.11,['deimos']
19,58.215.180.63,112.29.180.11,['deimos']
20,110.185.186.35,112.29.180.11,['deimos']
21,101.32.104.41,112.29.180.11,['deimos']
22,106.11.61.135,112.29.180.11,['deimos']
23,17.57.172.19,112.29.180.11,['deimos']
24,220.185.174.75,112.29.180.11,['deimos']
25,218.29.205.153,112.29.180.11,['deimos']
26,157.240.13.33,112.29.180.11,['deimos']
27,61.130.29.221,112.29.180.11,['deimos']
28,120.233.50.82,112.29.180.11,['deimos']
29,52.84.251.40,112.29.180.11,['deimos']
30,120.232.244.88,112.29.180.11,['deimos']
31,113.105.172.41,112.29.180.11,['deimos']
32,43.155.124.238,112.29.180.11,['deimos']
33,157.240.235.60,112.29.180.11,['deimos']
34,221.204.17.61,112.29.180.11,['deimos']
35,104.18.14.10,112.29.180.11,['deimos']
36,43.132.80.30,112.29.180.11,['deimos']
37,101.32.139.51,112.29.180.11,['deimos']
38,138.113.121.71,112.29.180.11,['deimos']
39,182.201.245.235,112.29.180.11,['deimos']
40,23.45.12.146,112.29.180.11,['deimos']
41,220.243.131.77,112.29.180.11,['deimos']
42,104.21.47.157,112.29.180.11,['deimos']
43,34.139.65.243,112.29.180.11,['deimos']
44,45.125.1.20,112.29.180.11,['deimos']
45,112.30.217.88,112.29.180.11,['deimos']
46,211.97.81.136,112.29.180.11,['deimos']
47,23.195.120.237,112.29.180.11,['deimos']
48,13.33.88.70,112.29.180.11,['deimos']
49,104.255.106.53,112.29.180.11,['deimos']
50,115.231.141.196,112.29.180.11,['deimos']
51,221.204.20.253,112.29.180.11,['deimos']
52,23.200.28.25,112.29.180.11,['deimos']
