,domain,report_source
0,1688ypo.com,PID
1,1688ypu.com,PID
2,ae.1688oka.com,PID
3,kf.1688ypi.com,PID
4,pbfa.info,PID
5,investmentsectornews.com,PID
6,app.qianff3.xyz,PID
7,app.qianxz4.xyz,PID
8,brelafinancial.com,PID
9,cryptosg001.com,PID
10,daily-offer.info,PID
11,singpost.form1775.cloud,PID
12,t1wonder.com,PID
13,bitmex87.com,PID
14,factset.work,PID
15,factset.works,PID
16,h5.bitbyhk.com,PID
17,www.btcturk-vip.com,PID
18,ascendex-defitransactions.com,PID
19,ebay111.xyz,PID
20,hpo.fyk-bbqt6699.xyz,PID
21,singpost.diaform.shop,PID
22,www.powersbi.com,PID
23,1stmall-app.top,PID
24,claudetites.com,PID
25,singpost.form1275.cloud,PID
26,www.mercatoxin.com,PID
27,onlineunionbankingph.com,PID
28,promo.1stmall-sg.shop,PID
29,ec-wp-stg.mngm.com,PID
30,ethereumuma.com,PID
31,ggg.glw-wpxx1233w.xyz,PID
32,www.albbyhq84.xyz,PID
33,www.factset-jobs.com,PID
34,xsdcew5.com,PID
35,akstech-analysis.com,PID
36,bch8985.com,PID
37,getyourguide-system.com,PID
38,ggg.glw-wpxx1233w.online,PID
39,ggg.glw-wpxx1998w.xyz,PID
40,ggg.glw-wpxx199w.online,PID
41,ggg.glw-wpxx9999w.online,PID
42,novusduzl52.top,PID
43,guocoop-p.com,PID
44,impact-kx.com,PID
45,ramtkh.top,PID
46,xshopee.cn,PID
47,smartone7.cc,PID
48,955555.vip,PID
49,aa-9fu.com,PID
50,bnzupdateaccess.com,PID
51,databricks-elevate.com,PID
52,firebelly-senna.com,PID
53,geeklab-roots.com,PID
54,instaclustr-elevate.com,PID
55,instrument-reviews.com,PID
56,kraken168.top,PID
57,ocbc.vip,PID
58,puzzlehive-boost.com,PID
59,sigma-elevate.com,PID
60,simpalm-softs.com,PID
61,sinesscryptoetc.com,PID
62,sj.longyantl.com,PID
63,splitmetrics-reviews.com,PID
64,au-netpeak-pro.com,PID
65,brainlabs-analytics.com,PID
66,brainlabs-revue.com,PID
67,can-lyteyear.com,PID
68,codingit-app.com,PID
69,concretio-senna.com,PID
70,cre8tech-analyse.com,PID
71,cre8tech-grow.com,PID
72,cre8tech-ranks.com,PID
73,cre8tech-scale.com,PID
74,efficient-softs.com,PID
75,fruugo-senna.com,PID
76,instrument-analysis.com,PID
77,labelium-boots.com,PID
78,lemonade-alex.com,PID
79,lemonade-amy.com,PID
80,novatisesgp-anita.com,PID
81,novatisesgp-anne.com,PID
82,quarks-works.com,PID
83,softacom-works.com,PID
84,tbwa-assign.com,PID
85,tinuiti-softs.com,PID
86,weaveasia-senna.com,PID
87,www.mercatox-q.com,PID
88,jszkcuguncrw.info,PID
89,oadoaqadgdft.site,PID
90,wanrflitrnvn.asia,PID
91,app.qianqian-c25.xyz,PID
92,brainlabs-official.com,PID
93,carousell.cellarin.shop,PID
94,creativeformore-software-workplatforms.com,PID
95,glittersiso.com,PID
96,teleconceale.com,PID
97,wesdxc2.com,PID
98,mdt.glt-tpog2599.online,PID
99,ppt.glw-wpex3566x.online,PID
100,hk.dbs.tivgeux.cn,PID
101,carousell.jpweb.shop,PID
102,lazadastorein.com,PID
103,okszki.com,PID
104,neo6354.com,PID
105,ifsyon.com,PID
106,mdt.glt-tpog6899.online,PID
107,lumiew.com,PID
108,hifriu.com,PID
109,mdt.glt-tpog3699.online,PID
110,laspalmasnow99012.in,PID
111,dhbtlbpkmu.top,PID
112,carousell.purchasell.shop,PID
113,eamart-online.xyz,PID
114,futultd.top,PID
115,h5.weshop959.com,PID
116,mok.ffy-hhww58y.xyz,PID
117,seatop.work,PID
118,traderasys.com,PID
119,upwave-reports.com,PID
120,user.thegradiantgroup.online,PID
121,web-jpm.com,PID
122,32fdghhoo11.com,PID
123,33fdghhoo11.com,PID
124,34fdghhoo11.com,PID
125,36fdghhoo11.com,PID
126,37fdghhoo11.com,PID
127,38fdghhoo11.com,PID
128,39fdghhoo11.com,PID
129,42fdghhoo11.com,PID
130,46fdghhoo11.com,PID
131,47fdghhoo11.com,PID
132,48fdghhoo11.com,PID
133,49fdghhoo11.com,PID
134,50fdghhoo11.com,PID
135,esignature.bio,PID
136,fyk-bbqt6699.shop,PID
137,fyk-bbqt9631.shop,PID
138,fyk-bbqt9631.xyz,PID
139,genixshop.ink,PID
140,glt-tpog3699.xyz,PID
141,linkt-peoytoill.com,PID
142,r-mall.pics,PID
143,rkt-store.homes,PID
144,singaporepost.art,PID
145,onemotoring.lta.govav.top,PID
146,onemotoring.lta.govet.top,PID
147,appodealstack-softs.com,PID
148,carousell.larray.shop,PID
149,clickbank-ranks.com,PID
150,www.cre8tech-elevate.com,PID
151,www.tripadvisor-softs.com,PID
152,acetrc.vip,PID
153,hpo.fyk-bbqt6699.online,PID
154,lazada-1000.com,PID
155,super-666.com,PID
156,yxr4xz.nu83a.com,PID
157,9100ydnt.blackstovip.top,PID
158,r-centralmall.bio,PID
159,trx8423.com,PID
160,dbs-bank65.world,PID
161,dbsbank-65.click,PID
162,ebay.aws321.top,PID
163,starhub-65yeswepostsinposgstoping.com,PID
164,onemotoring.lta.gov.sg,r0008
165,onemotoring.com,r0008
166,www.onemotoring.com,r0008
167,www.onemotoring.lta.gov.sg,r0008
168,www.onemotoring.com.sg,r0008
169,ncspteonemotoring.112.2o7.net,r0008
170,onemotoring-sg.top,r0008
171,onemotoring.com.sg,r0008
172,onemotoring.sg,r0008
173,onemotoring.sg.domreaper.com,r0008
174,onemotoring.gov.sg,r0008
175,onemotoring.lta.govav.top,r0008
176,www.onemotoring.gov.sg,r0008
177,www.onemotoring.sg,r0008
178,www.lazada100.com,r0010
179,lazadasm.atlassian.net,r0010
180,edenplazadanang.com,r0010
181,lazada360.sg,r0010
182,lazadacx.qualtrics.com,r0010
183,lazadaph.api.useinsider.com,r0010
184,lazadathy.com,r0010
185,9888971.lazada88.com,r0010
186,metroplazadavao.com,r0010
187,www.edenplazadanang.com,r0010
188,bigbag-web.com,r0005
189,site-sg.com,r0005
190,vpn-sg-sg.haimer.com,r0005
191,the-cosmic-web.com,r0005
192,izy-web.com,r0005
193,hhshealthit-gov.com,r0005
194,aroma-web.com,r0005
195,wav-com.com,r0005
196,melissa-web.com,r0005
197,ggb-web.com,r0005
198,www.hhshealthit-gov.com,r0005
199,ateliers-web.com,r0005
200,ib-digital-onlinne-web.com,r0005
201,www.gl-com.com,r0005
202,www.nisso-web.com,r0005
203,aim-sg.com,r0005
204,remember-web.com,r0005
205,weeki-web.com,r0005
206,www.bb-lab-sg.com,r0005
207,www.pvd-sg.com,r0005
208,www.umt-sg.com,r0005
209,roder-sg.com,r0005
210,livre-web.com,r0005
211,telegram-web.com,r0005
212,www.yellow-web.com,r0005
213,www.ascendfitness-sg.com,r0005
214,www.mynikevisit-sg.com,r0005
215,mail.globalsystem-sg.com,r0005
216,lentorhillsresidences-guocoland-sg.com,r0005
217,cpg.pm-com.com,r0005
218,www.propaganda-web.com,r0005
219,promo-web.com,r0005
220,www-starliving-com-sg.cdn.ampproject.org,r0005
221,unitedconstruction-sg.com,r0005
222,www.hand-sg.com,r0005
223,www.paint-sg.com,r0005
224,pinetreehill-official-sg.com,r0005
225,kaplan-sg.com.cn,r0005
226,birkenstock-sg.com,r0005
227,www.bodik-sg.com,r0005
228,erp.contin-web.com,r0005
229,www.rfelectronics-sg.com,r0005
230,iconbyhairvisual-sg.com,r0005
231,www.eurotours-sg.com,r0005
232,wattenestateresidence-sg.com,r0005
233,www.auditexpress-sg.com,r0005
234,dsm-densay-sg.com,r0005
235,www.whatsapp-web.com,r0005
236,flexiteam-sg.com,r0005
237,choicefurniture-com-sg.cdn.ampproject.org,r0005
238,www.face-sg.com,r0005
239,thefamilywellnessclinic-sg.com,r0005
240,www.equation-sg.com,r0005
241,ww12.whatsapp-web.com,r0005
242,panw-ciam.okta-gov.com,r0005
243,leedon-green-mcl-sg.com,r0005
244,icya-sg.com,r0005
245,onalytica-web.com,r0005
246,zarch-sg.com,r0005
247,confetti-web.com,r0005
248,slack-gov.com,r0005
249,blog.musee-sg.com,r0005
250,www-wellcollective-com-sg.filesusr.com,r0005
251,www.bfg-sg.com,r0005
252,www.johnnys-web.com,r0005
253,www.bagus-web.com,r0005
254,www.lumine-sg.com,r0005
255,www.donkiz-sg.com,r0005
256,www.hhexpress-sg.com,r0005
257,archive-sg.com,r0005
258,wwwworld-wide-web.com,r0005
259,www.wwwworld-wide-web.com,r0005
260,probono-web.com,r0005
261,www.valence-web.com,r0005
262,hawkins-web.com,r0005
263,www.gvcredit-sg.com,r0005
264,onepearlbank.site-sg.com,r0005
265,midtown-modern.site-sg.com,r0005
266,leedongreen.site-sg.com,r0005
267,dbs-sg.com,r0005
268,integral-sg-p2.allegro-my-sg.com,r0005
269,gong-cha-sg.com,r0005
270,www.echo-web.com,r0005
271,www.westmarine-sg.com,r0005
272,www-gattopardo-com-sg.filesusr.com,r0005
273,www.leeseunggi-sg.com,r0005
274,www.hawkins-web.com,r0005
275,www.chengqi-sg.com,r0005
276,afiliados-na-web.com,r0005
277,domo-com.com,r0005
278,www-maddspace-com-sg.filesusr.com,r0005
279,www.pcinfo-web.com,r0005
280,www.bluesky-web.com,r0005
281,way-web.com,r0005
282,bmwmini-sg.com,r0005
283,www.foodprints-sg.com,r0005
284,pk-sg.com,r0005
285,crto-gov.com,r0005
286,the-landmark.site-sg.com,r0005
287,pinto-md.spain-web.com,r0005
288,barbadas-ga.spain-web.com,r0005
289,vilanova-i-la-geltru-ct.spain-web.com,r0005
290,santa-cruz-de-tenerife-cn.spain-web.com,r0005
291,san-sebastian-de-los-reyes-md.spain-web.com,r0005
292,tarragona-ct.spain-web.com,r0005
293,las-gabias-an.spain-web.com,r0005
294,almeria-an.spain-web.com,r0005
295,reserveresidences-sg.com,r0005
296,www.discovering-sg.com,r0005
297,epe-sg.com,r0005
298,cmpv2.spurs-web.com,r0005
299,www-joyouslearning-com-sg.filesusr.com,r0005
300,onebernam.site-sg.com,r0005
301,www.the-art-of-web.com,r0005
302,ww25.407.travel-web.com.tw,r0005
303,bookmark.dot-sg.com,r0005
304,kiast-sg.com,r0005
305,www4b.mk-com.com,r0005
306,homepage2.mk-com.com,r0005
307,corp.mk-com.com,r0005
308,csod-sg.com,r0005
309,cs.mk-com.com,r0005
310,prof.mk-com.com,r0005
311,track-sg.com,r0005
312,mvn.mk-com.com,r0005
313,www.mispl-sg.com,r0005
314,img-stomp-com-sg.cdn.ampproject.org,r0005
315,bookmarks.mk-com.com,r0005
316,users.mk-com.com,r0005
317,www.drx-web.com,r0005
318,help.mk-com.com,r0005
319,medi-sg.com,r0005
320,www.grating-web.com.tw,r0005
321,ww5.mk-com.com,r0005
322,myhome.mk-com.com,r0005
323,regione.mk-com.com,r0005
324,host.mk-com.com,r0005
325,maven.mk-com.com,r0005
326,www5c.mk-com.com,r0005
327,1www.mk-com.com,r0005
328,mail.mk-com.com,r0005
329,user.mk-com.com,r0005
330,pup.mk-com.com,r0005
331,com.mk-com.com,r0005
332,um.mk-com.com,r0005
333,k5.mk-com.com,r0005
334,kk.mk-com.com,r0005
335,bblog.bagus-web.com,r0005
336,www.sadie-web.com,r0005
337,ipo-sg.com,r0005
338,handymanservice-sg.com,r0005
339,www.cocom-sg.com,r0005
340,autoparts.pk-sg.com,r0005
341,movie.gas-web.com,r0005
342,the-reserve-residences-official-sg.com,r0005
343,www.shelton-sg.com,r0005
344,bb-lab-sg.com,r0005
345,www.sbm-sg.com,r0005
346,luv-sg.com,r0005
347,ascendasone-sg.company.site,r0005
348,www.gifted-sg.com,r0005
349,leeseunggi-sg.com,r0005
350,installation.rakuya-com.com,r0005
351,s.confetti-web.com,r0005
352,realestate-sg.com,r0005
353,protect-sg.com,r0005
354,www.salsacubana-sg.com,r0005
355,ru.diplomik-web.com,r0005
356,cendori2.lupe-web.com,r0005
357,www.fmc-sg.com,r0005
358,karuizawa-web.com,r0005
359,k2j-web.com,r0005
360,www.ebos-sg.com,r0005
361,linx-sg.com,r0005
362,www.ifa-sg.com,r0005
363,www.upsell-sg.com,r0005
364,pussy888-sg.com,r0005
365,arrow-sg.com,r0005
366,the-botany.site-sg.com,r0005
367,wpad.realtek-sg.com,r0005
368,www.clintonearenda-generatorov-com.com,r0005
369,www.psych-web.com,r0005
370,callaghan-com.com,r0005
371,spyder-web.com,r0005
372,caf-sg.com,r0005
373,www-rappu-com-sg.filesusr.com,r0005
374,www-obrointl-com-sg.filesusr.com,r0005
375,titan-sg.com,r0005
376,the-atelier.site-sg.com,r0005
377,www.nailhaven-sg.com,r0005
378,www-supplyanddemand-com-sg.filesusr.com,r0005
379,epark-wp-cdn.gs8-web.com,r0005
380,ffl-sg.com,r0005
381,ww7.whatsapp-web.com,r0005
382,www.thehappyplace-sg.com,r0005
383,curtin-sg.com,r0005
384,www.l-com.com,r0005
385,www.hoopfitness-sg.com,r0005
386,www.ltc-sg.com,r0005
387,www.nics-sg.com,r0005
388,www.gyro-web.com,r0005
389,hostmaster.mk-com.com,r0005
390,provincia.mk-com.com,r0005
391,www.flexifusion-sg.com,r0005
392,www.nexg-sg.com,r0005
393,ksuites-sg.com,r0005
394,www.setup-web.com,r0005
395,www.reebok-sg.com,r0005
396,www.jiluka-web.com,r0005
397,www.dpastry-sg.com,r0005
398,www.benduo-web.com,r0005
399,christensen9136gb.envision-web.com,r0005
400,xn--um-72td.rakuya-com.com,r0005
401,www.wholesomeliving-sg.com,r0005
402,server.faithful-sg.com,r0005
403,www.odysseyrf-sg.com,r0005
404,www.upe-sg.com,r0005
405,auditexpress-sg.com,r0005
406,integral-my.allegro-my-sg.com,r0005
407,webmail.mad-sg.com,r0005
408,equation-sg.com,r0005
409,ace-sg.com,r0005
410,ww12.unitedconstruction-sg.com,r0005
411,soma-gov.com,r0005
412,wiki.pcinfo-web.com,r0005
413,a01.psych-web.com,r0005
414,pullmanresidences.site-sg.com,r0005
415,hyll-on-holland.site-sg.com,r0005
416,sight-web.com,r0005
417,www.myfaceworkshop-sg.com,r0005
418,alturaec-sg.com,r0005
419,onoken-web.com,r0005
420,scpi-test-sq-com-sg.it-cpi004-rt.cfapps.ap11.hana.ondemand.com,r0005
421,www.conp-sg.com,r0005
422,kkgems-sg.com,r0005
423,www-deli2go-com-sg.filesusr.com,r0005
424,www.confetti-web.com,r0005
425,prop.spurs-web.com,r0005
426,hp-dev-web.com,r0005
427,samecity.ez-life-sg.com,r0005
428,file.bagus-web.com,r0005
429,tvguru-sg.com,r0005
430,lp.musee-sg.com,r0005
431,homeappliances-sg.com,r0005
432,ebf-sg.com,r0005
433,tembusugrand-condo-sg.com,r0005
434,zakka-web.com,r0005
435,www.petiteboutique-sg.com,r0005
436,www.tmac-sg.com,r0005
437,www.gcc2023-sg.com,r0005
438,vipbuy-sg.com,r0005
439,ctia-sg.com,r0005
440,www.aes-sg.com,r0005
441,www.devenir-entrepreneur-web.com,r0005
442,www.testtakers-sg.com,r0005
443,beni-sg.com,r0005
444,lumine-sg.com,r0005
445,era-tech-sg.com,r0005
446,www1.ayalaland-sg.com,r0005
447,dja-sg.com,r0005
448,aff.novice-web.com,r0005
449,www.spl-sg.com,r0005
450,www-doorlab-com-sg.filesusr.com,r0005
451,www-harrys-com-sg.filesusr.com,r0005
452,www.galerie-com.com,r0005
453,www.sicog-sg.com,r0005
454,www.kkgems-sg.com,r0005
455,garden-events-sg.com,r0005
456,oompf-com-sg.webpkgcache.com,r0005
457,mail.mall-sg.com,r0005
458,share.kinto-sg.com,r0005
459,www.seeker-web.com,r0005
460,idt-sg.com,r0005
461,www.teka-sg.com,r0005
462,groceries-umamill-sg.com,r0005
463,aurawhite-sg.com,r0005
464,www.curtin-sg.com,r0005
465,www.easb-sg.com,r0005
466,electriccars-sg.com,r0005
467,www.alphasys-web.com,r0005
468,www.dancetheatrearts-sg.com,r0005
469,ascendfitness-sg.com,r0005
470,www.plush-sg.com,r0005
471,www.kinosaki-web.com,r0005
472,www-souprestaurant-com-sg.filesusr.com,r0005
473,zytokine-web.com,r0005
474,www.aws-sg.com,r0005
475,www.emperor-sg.com,r0005
476,mdis-sg.com.cn,r0005
477,stagingblossomvicker.ondot-sg.com,r0005
478,jden-residences-sg.com,r0005
479,www.kaplan-sg.com.cn,r0005
480,www.sallysroom-sg.com,r0005
481,407.travel-web.com.tw,r0005
482,threes-sg.com,r0005
483,devenir-entrepreneur-web.com,r0005
484,fd.ls-gov.com,r0005
485,ehime-web.com,r0005
486,beautyfulminds-com-sg-api-project-259306460458.firebaseio.com,r0005
487,www-premiereco-com-sg.webpkgcache.com,r0005
488,seeker-web.com,r0005
489,borussia-academy-sg.com,r0005
490,www.k-link-sg.com,r0005
491,grand-dunman-sg.com,r0005
492,www.wm-sg.com,r0005
493,www.balcony-sg.com,r0005
494,www.tiger-sg.com,r0005
495,www.y-com.com.cn,r0005
496,directory-sg.com,r0005
497,dev-enfagrow-com-sg.mjngwt.com,r0005
498,my-prd.allegro-my-sg.com,r0005
499,webmail.landscape-sg.com,r0005
500,www.mdis-sg.com.cn,r0005
501,tiger-sg.com,r0005
502,www.hairsalon-web.com,r0005
503,hiranoya-web.com,r0005
504,www.amagasaki-web.com,r0005
505,sanno-web.com,r0005
506,sim-sg.com.cn,r0005
507,psb-sg.com,r0005
508,www.gas-web.com,r0005
509,img.rebecca-web.com,r0005
510,www-activesgcircle-gov-sg.sandbox.hs-sites.com,r0005
511,jaqyyj-gov.com,r0005
512,www.kanves-sg.com,r0005
513,win-com.com,r0005
514,www.mag-web.com,r0005
515,www.he-web.com,r0005
516,www.deschamps-web.com,r0005
517,dengue-clusters-sg.com,r0005
518,zaragoza-ar.spain-web.com,r0005
519,noise1.emetrology-sg.com,r0005
520,www.imaizumi-web.com,r0005
521,www.yado-web.com,r0005
522,semba1008-sg.com,r0005
523,www.trust-web.com,r0005
524,www-houze-com-sg%2fpages%2fonline--shopping--the--houze--way.cdn.ampproject.org,r0005
525,erp.mi-sg.com,r0005
526,www.tadashi-web.com,r0005
527,esvc000614.wic059u.server-web.com,r0005
528,www.zarabi-sg.com,r0005
529,relx-sg.com,r0005
530,www.icya-sg.com,r0005
531,viciouscycles-sg.com,r0005
532,www.thestudio-sg.com,r0005
533,www.borussia-academy-sg.com,r0005
534,www.ace-sg.com,r0005
535,mail.whf-sg.com,r0005
536,www.j-asia-sg.com,r0005
537,shc-sg.com,r0005
538,www.pinc-web.com,r0005
539,www.akgi-sg.com,r0005
540,geofind-sg.com,r0005
541,static.rave-web.com,r0005
542,anzu-meat-factory-sg.com,r0005
543,www.littlewarriors-sg.com,r0005
544,check.bel-web.com,r0005
545,www.best--web.com,r0005
546,singpass.ndi-sg.com,r0005
547,cpanel.mad-sg.com,r0005
548,www.furniture-sg.com,r0005
549,www.makingsense-sg.com,r0005
550,www.house-sg.com,r0005
551,www-houze-com-sg.cdn.ampproject.org,r0005
552,seo-web.com.pl,r0005
553,volare-sg.com,r0005
554,www.purewellness-sg.com,r0005
555,search.homepage-web.com,r0005
556,store.ssl-sg.com,r0005
557,medley-web.com,r0005
558,xn--dtatogelpusat-web.com,r0005
559,shop.transcity-sg.com,r0005
560,babyexpress-sg.com,r0005
561,www.knibbles-sg.com,r0005
562,www.spytech-web.com,r0005
563,www.jug-sg.com,r0005
564,www.kent-web.com,r0005
565,mail.fim-sg.com,r0005
566,romero-web.com,r0005
567,ship-govsg.slack.com,r0005
568,www.camemb-sg.com,r0005
569,gearup-sg.com,r0005
570,www-businesstimes-com-sg.cdn.ampproject.org,r0005
571,hirocon-net-sg.com,r0005
572,www.aeiresources-sg.com,r0005
573,mit-sg.com,r0005
574,www.ocd-sg.com,r0005
575,cdn.mashup-web.com,r0005
576,kyokushinkarate-sg.com,r0005
577,www.nutek-sg.com,r0005
