,ip_address,c2_ip,c2_maltype
0,86.14.238.46,85.217.144.136,['mirai']
1,116.88.58.42,85.217.144.136,['mirai']
2,61.92.74.253,85.217.144.136,['mirai']
3,18.223.137.220,85.217.144.136,['mirai']
4,60.53.32.84,85.217.144.136,['mirai']
5,49.130.202.104,85.217.144.136,['mirai']
6,157.240.217.62,85.217.144.136,['mirai']
7,85.217.144.136,85.217.144.136,['mirai']
8,210.195.131.27,85.217.144.136,['mirai']
9,139.45.197.253,85.217.144.136,['mirai']
10,31.112.101.138,85.217.144.136,['mirai']
11,142.116.67.114,85.217.144.136,['mirai']
12,220.255.193.213,85.217.144.136,['mirai']
13,54.80.147.42,85.217.144.136,['mirai']
14,180.75.251.17,85.217.144.136,['mirai']
15,103.252.200.45,85.217.144.136,['mirai']
16,113.211.208.248,85.217.144.136,['mirai']
17,180.74.71.106,85.217.144.136,['mirai']
18,197.253.86.247,85.217.144.136,['mirai']
19,142.250.4.136,85.217.144.136,['mirai']
20,175.141.174.60,85.217.144.136,['mirai']
21,175.143.58.227,85.217.144.136,['mirai']
22,60.53.33.207,85.217.144.136,['mirai']
23,123.202.98.44,85.217.144.136,['mirai']
24,104.18.1.100,85.217.144.136,['mirai']
25,218.186.143.96,85.217.144.136,['mirai']
26,54.194.243.238,85.217.144.136,['mirai']
27,34.117.139.101,85.217.144.136,['mirai']
28,103.207.108.38,85.217.144.136,['mirai']
29,49.245.22.10,85.217.144.136,['mirai']
30,34.237.73.95,85.217.144.136,['mirai']
31,197.253.68.192,85.217.144.136,['mirai']
32,219.75.86.186,85.217.144.136,['mirai']
33,74.125.24.17,85.217.144.136,['mirai']
34,180.75.46.47,85.217.144.136,['mirai']
35,218.253.158.203,85.217.144.136,['mirai']
36,95.211.255.123,85.217.144.136,['mirai']
37,92.237.32.174,85.217.144.136,['mirai']
38,113.210.106.250,85.217.144.136,['mirai']
39,13.33.33.79,85.217.144.136,['mirai']
40,119.237.83.2,85.217.144.136,['mirai']
41,218.212.111.100,85.217.144.136,['mirai']
42,24.191.2.96,85.217.144.136,['mirai']
43,104.21.35.225,85.217.144.136,['mirai']
44,74.125.68.138,85.217.144.136,['mirai']
45,60.49.218.72,85.217.144.136,['mirai']
46,104.103.145.69,85.217.144.136,['mirai']
47,178.128.212.242,85.217.144.136,['mirai']
48,119.160.145.29,85.217.144.136,['mirai']
49,104.244.42.65,85.217.144.136,['mirai']
50,17.253.84.123,85.217.144.136,['mirai']
51,172.253.118.94,85.217.144.136,['mirai']
52,74.125.200.136,85.217.144.136,['mirai']
53,192.173.29.61,85.217.144.136,['mirai']
54,99.238.123.218,85.217.144.136,['mirai']
55,92.233.226.239,85.217.144.136,['mirai']
56,14.198.22.244,85.217.144.136,['mirai']
57,70.77.192.216,85.217.144.136,['mirai']
58,49.112.90.165,85.217.144.136,['mirai']
59,163.181.82.231,85.217.144.136,['mirai']
60,157.240.218.34,85.217.144.136,['mirai']
61,175.143.57.23,85.217.144.136,['mirai']
62,123.193.181.103,85.217.144.136,['mirai']
63,161.142.152.121,85.217.144.136,['mirai']
64,14.192.213.118,85.217.144.136,['mirai']
65,172.67.65.23,85.217.144.136,['mirai']
66,98.15.33.103,85.217.144.136,['mirai']
67,207.81.228.92,85.217.144.136,['mirai']
68,74.125.200.138,85.217.144.136,['mirai']
69,45.32.145.35,85.217.144.136,['mirai']
70,175.139.212.140,85.217.144.136,['mirai']
71,99.229.19.5,85.217.144.136,['mirai']
72,132.147.117.75,85.217.144.136,['mirai']
73,157.240.217.34,85.217.144.136,['mirai']
74,113.252.220.27,85.217.144.136,['mirai']
75,51.79.184.101,85.217.144.136,['mirai']
76,98.42.223.205,85.217.144.136,['mirai']
77,121.121.194.98,85.217.144.136,['mirai']
78,42.191.230.121,85.217.144.136,['mirai']
79,1.65.204.193,85.217.144.136,['mirai']
80,54.214.211.140,85.217.144.136,['mirai']
81,180.75.235.179,85.217.144.136,['mirai']
82,58.152.237.198,85.217.144.136,['mirai']
83,180.74.71.63,85.217.144.136,['mirai']
84,100.2.24.198,85.217.144.136,['mirai']
85,13.126.111.214,85.217.144.136,['mirai']
86,114.76.115.179,85.217.144.136,['mirai']
87,197.253.80.234,85.217.144.136,['mirai']
88,110.235.68.85,85.217.144.136,['mirai']
89,223.17.48.149,85.217.144.136,['mirai']
90,14.192.208.242,85.217.144.136,['mirai']
91,210.6.138.111,85.217.144.136,['mirai']
92,104.3.247.72,85.217.144.136,['mirai']
