,ip_address,target_geo_country
0,1.116.115.166,CN
1,1.117.117.166,CN
2,1.117.225.253,CN
3,1.117.236.166,CN
4,1.117.79.253,CN
5,1.117.88.19,CN
6,1.12.235.226,CN
7,1.12.244.214,CN
8,1.13.195.156,CN
9,1.14.250.37,CN
10,1.14.58.132,CN
11,1.15.79.166,CN
12,1.15.85.44,CN
13,1.15.94.16,CN
14,1.180.103.206,CN
15,1.182.48.41,CN
16,1.188.144.27,CN
17,1.189.221.101,CN
18,1.189.255.35,CN
19,1.190.128.33,CN
20,1.190.25.47,CN
21,1.190.7.142,CN
22,1.192.136.132,CN
23,1.192.136.133,CN
24,1.192.136.134,CN
25,1.192.137.10,CN
26,1.192.137.108,CN
27,1.192.137.13,CN
28,1.192.137.20,CN
29,1.192.137.5,CN
30,1.192.137.8,CN
31,1.192.193.52,CN
32,1.193.146.41,CN
33,1.193.210.51,CN
34,1.193.210.6,CN
35,1.194.250.60,CN
36,1.194.49.192,CN
37,1.198.21.224,CN
38,1.198.215.214,CN
39,1.203.115.79,CN
40,1.204.57.51,CN
41,1.25.111.101,CN
42,1.25.152.245,CN
43,1.27.120.151,CN
44,1.57.199.6,CN
45,1.57.208.147,CN
46,1.58.185.251,CN
47,1.58.45.216,CN
48,1.58.47.202,CN
49,1.59.20.155,CN
50,1.59.76.180,CN
51,1.60.136.176,CN
52,1.60.25.14,CN
53,1.61.155.135,CN
54,1.62.64.90,CN
55,1.63.245.129,CN
56,1.69.16.211,CN
57,1.69.5.242,CN
58,1.69.77.126,CN
59,1.70.10.158,CN
60,1.70.126.228,CN
61,1.70.129.45,CN
62,1.70.131.41,CN
63,1.70.140.1,CN
64,1.70.161.196,CN
65,1.70.161.221,CN
66,1.70.176.159,CN
67,1.70.9.159,CN
68,1.71.140.154,CN
69,1.71.157.41,CN
70,1.81.32.232,CN
71,1.87.209.49,CN
72,101.132.120.17,CN
73,101.132.170.46,CN
74,101.132.174.146,CN
75,101.133.158.218,CN
76,101.16.228.221,CN
77,101.16.55.229,CN
78,101.17.78.55,CN
79,101.198.0.117,CN
80,101.198.0.29,CN
81,101.198.198.198,CN
82,101.198.2.155,CN
83,101.198.2.190,CN
84,101.198.2.191,CN
85,101.198.2.223,CN
86,101.198.2.228,CN
87,101.199.128.190,CN
88,101.199.97.243,CN
89,101.200.139.185,CN
90,101.200.166.251,CN
91,101.200.198.161,CN
92,101.200.203.95,CN
93,101.201.34.153,CN
94,101.204.77.91,CN
95,101.204.97.9,CN
96,101.205.132.24,CN
97,101.206.106.41,CN
98,101.206.162.7,CN
99,101.206.252.208,CN
100,101.207.130.217,CN
101,101.224.184.4,CN
102,101.224.220.106,CN
103,101.226.130.65,CN
104,101.226.144.67,CN
105,101.226.211.106,CN
106,101.226.232.142,CN
107,101.226.26.238,CN
108,101.226.26.239,CN
109,101.226.26.240,CN
110,101.226.26.241,CN
111,101.226.26.242,CN
112,101.226.26.243,CN
