,ip_address,target_geo_country
0,104.166.148.185,RU
1,104.166.149.183,RU
2,104.166.150.183,RU
3,109.110.89.125,RU
4,109.111.8.12,RU
5,109.124.224.144,RU
6,109.126.32.173,RU
7,109.126.58.39,RU
8,109.167.133.17,RU
9,109.170.24.253,RU
10,109.196.72.193,RU
11,109.197.137.177,RU
12,109.201.100.80,RU
13,109.202.48.126,RU
14,109.203.211.214,RU
15,109.206.148.5,RU
16,109.225.24.105,RU
17,109.252.110.234,RU
18,109.252.152.255,RU
19,109.252.41.117,RU
20,109.61.232.22,RU
21,109.61.248.35,RU
22,109.71.177.133,RU
23,109.95.75.80,RU
24,128.65.137.212,RU
25,128.71.134.242,RU
26,128.75.141.109,RU
27,128.75.73.222,RU
28,130.255.135.179,RU
29,136.169.215.51,RU
30,136.169.243.60,RU
31,139.28.223.116,RU
32,145.255.11.251,RU
33,146.19.59.23,RU
34,152.32.227.252,RU
35,152.32.227.68,RU
36,152.32.228.20,RU
37,158.160.47.216,RU
38,158.255.85.66,RU
39,158.46.233.206,RU
40,162.62.33.200,RU
41,163.171.153.29,RU
42,176.101.230.236,RU
43,176.107.245.7,RU
44,176.107.85.167,RU
45,176.108.178.241,RU
46,176.109.181.112,RU
47,176.109.191.14,RU
48,176.109.191.208,RU
49,176.111.174.105,RU
50,176.111.174.109,RU
51,176.111.174.110,RU
52,176.111.174.111,RU
53,176.111.174.112,RU
54,176.111.174.80,RU
55,176.111.174.81,RU
56,176.111.174.82,RU
57,176.111.174.83,RU
58,176.111.174.84,RU
59,176.111.174.85,RU
60,176.111.174.86,RU
61,176.111.174.87,RU
62,176.111.174.88,RU
63,176.111.174.89,RU
64,176.111.174.91,RU
65,176.111.174.95,RU
66,176.111.174.97,RU
67,176.111.174.98,RU
68,176.111.94.137,RU
69,176.114.134.162,RU
70,176.114.188.237,RU
71,176.114.224.77,RU
72,176.116.165.12,RU
73,176.193.186.32,RU
74,176.194.233.18,RU
75,176.195.172.80,RU
76,176.209.135.125,RU
77,176.209.175.247,RU
78,176.210.57.178,RU
79,176.212.204.34,RU
80,176.214.186.137,RU
81,176.214.221.63,RU
82,176.214.229.228,RU
83,176.215.11.204,RU
84,176.215.193.194,RU
85,176.226.162.174,RU
86,176.226.219.95,RU
87,176.51.181.149,RU
88,176.52.112.240,RU
89,176.56.2.99,RU
90,176.59.130.174,RU
91,176.59.133.108,RU
92,176.59.134.33,RU
93,176.59.135.109,RU
94,176.59.149.60,RU
95,176.59.170.254,RU
96,176.59.193.161,RU
97,176.59.194.208,RU
98,176.59.76.77,RU
99,176.77.75.109,RU
100,178.155.6.40,RU
101,178.158.38.54,RU
102,178.176.160.40,RU
103,178.176.77.226,RU
104,178.178.91.151,RU
105,178.187.180.227,RU
106,178.187.255.53,RU
107,178.20.177.73,RU
108,178.204.212.221,RU
109,178.207.178.228,RU
110,178.210.89.119,RU
111,178.212.139.253,RU
112,178.214.177.61,RU
113,178.214.245.250,RU
114,178.214.249.206,RU
115,178.234.162.212,RU
116,178.237.248.61,RU
117,178.255.251.153,RU
118,178.34.151.64,RU
119,178.45.126.184,RU
120,178.46.110.200,RU
121,178.46.196.102,RU
122,178.46.71.77,RU
123,178.57.109.21,RU
124,178.65.77.188,RU
125,178.66.159.135,RU
126,178.67.144.148,RU
127,178.69.101.0,RU
128,178.69.158.206,RU
129,178.75.55.183,RU
130,185.120.190.127,RU
131,185.121.84.179,RU
132,185.126.129.45,RU
133,185.15.38.28,RU
134,185.155.19.207,RU
135,185.159.129.55,RU
136,185.186.143.61,RU
137,185.195.25.88,RU
138,185.210.140.51,RU
139,185.22.172.152,RU
140,185.229.66.73,RU
141,185.33.140.203,RU
142,185.33.141.156,RU
143,185.34.241.8,RU
144,185.74.103.90,RU
145,185.81.68.102,RU
146,185.84.172.205,RU
147,185.94.111.1,RU
148,185.97.201.86,RU
149,188.113.166.132,RU
150,188.113.166.38,RU
151,188.113.29.36,RU
152,188.17.0.22,RU
153,188.17.70.110,RU
154,188.170.174.107,RU
155,188.18.132.125,RU
156,188.18.82.139,RU
157,188.186.36.87,RU
158,188.187.157.54,RU
159,188.187.61.231,RU
160,188.19.33.251,RU
161,188.190.96.89,RU
162,188.191.174.107,RU
163,188.225.87.129,RU
164,188.233.68.60,RU
165,188.234.101.53,RU
166,188.242.110.123,RU
167,188.242.252.133,RU
168,188.255.1.79,RU
169,188.255.120.32,RU
170,188.255.94.233,RU
171,188.32.44.153,RU
172,188.32.81.238,RU
173,193.108.183.176,RU
174,193.160.205.128,RU
175,193.168.176.233,RU
176,193.188.200.15,RU
177,193.23.58.250,RU
178,193.233.58.70,RU
179,193.41.203.0,RU
180,194.110.203.222,RU
181,194.110.203.225,RU
182,194.113.236.87,RU
183,194.135.136.8,RU
184,194.186.129.230,RU
185,194.186.187.54,RU
186,194.247.185.15,RU
187,194.26.29.152,RU
188,194.26.29.169,RU
189,194.26.29.195,RU
190,194.26.29.37,RU
191,194.26.29.86,RU
192,194.50.15.55,RU
193,194.50.171.45,RU
194,194.58.36.20,RU
195,194.87.49.46,RU
196,195.140.147.47,RU
197,195.16.121.57,RU
198,195.225.108.227,RU
199,195.98.68.127,RU
200,2.62.226.67,RU
201,2.62.61.31,RU
202,2.92.193.127,RU
203,2.92.56.56,RU
204,2.94.224.39,RU
205,2.95.59.66,RU
206,212.1.226.176,RU
207,212.124.7.109,RU
208,212.164.38.96,RU
209,212.20.9.193,RU
210,212.35.166.210,RU
211,212.41.8.213,RU
212,212.41.9.230,RU
213,212.41.9.231,RU
214,212.6.3.67,RU
215,212.75.210.120,RU
216,213.109.49.170,RU
217,213.151.9.25,RU
218,213.155.223.8,RU
219,213.180.193.90,RU
220,213.226.123.38,RU
221,213.232.211.253,RU
222,213.234.4.118,RU
223,213.5.31.99,RU
224,213.80.150.44,RU
225,213.87.121.61,RU
226,213.87.246.152,RU
227,217.145.24.190,RU
228,217.149.188.102,RU
229,217.173.74.2,RU
230,217.20.152.213,RU
231,217.20.156.158,RU
232,217.25.228.188,RU
233,31.129.127.144,RU
234,31.133.54.162,RU
235,31.133.66.13,RU
236,31.133.70.24,RU
237,31.133.70.76,RU
238,31.133.72.20,RU
239,31.133.73.117,RU
240,31.135.33.190,RU
241,31.162.80.173,RU
242,31.163.187.226,RU
243,31.171.197.30,RU
244,31.173.243.10,RU
245,31.192.136.61,RU
246,31.207.216.92,RU
247,31.8.166.183,RU
248,37.1.141.138,RU
249,37.110.119.182,RU
250,37.110.90.98,RU
251,37.112.117.187,RU
252,37.112.213.184,RU
253,37.113.232.37,RU
254,37.113.94.165,RU
255,37.139.53.9,RU
256,37.140.71.92,RU
257,37.144.224.76,RU
258,37.145.34.177,RU
259,37.145.6.12,RU
260,37.146.48.174,RU
261,37.146.50.97,RU
262,37.147.18.114,RU
263,37.19.5.139,RU
264,37.19.5.155,RU
265,37.192.166.24,RU
266,37.192.198.53,RU
267,37.204.9.59,RU
268,37.205.80.119,RU
269,37.21.2.201,RU
270,37.22.84.62,RU
271,37.235.135.180,RU
272,37.235.169.1,RU
273,37.252.12.86,RU
274,37.252.254.22,RU
275,37.252.255.6,RU
276,37.79.13.29,RU
277,37.79.16.44,RU
278,37.98.252.176,RU
279,37.99.222.182,RU
280,45.136.244.175,RU
281,45.140.25.121,RU
282,45.147.123.132,RU
283,45.15.112.248,RU
284,45.15.114.188,RU
285,45.157.212.172,RU
286,45.157.212.44,RU
287,45.93.201.59,RU
288,45.94.119.182,RU
289,46.138.166.207,RU
290,46.138.186.122,RU
291,46.138.30.255,RU
292,46.138.37.32,RU
293,46.159.125.55,RU
294,46.161.188.63,RU
295,46.161.54.57,RU
296,46.165.5.61,RU
297,46.167.108.127,RU
298,46.172.33.158,RU
299,46.173.7.108,RU
300,46.180.209.82,RU
301,46.188.0.215,RU
302,46.188.60.33,RU
303,46.191.188.32,RU
304,46.22.56.181,RU
305,46.228.113.11,RU
306,46.229.179.28,RU
307,46.229.181.222,RU
308,46.236.142.124,RU
309,46.241.80.41,RU
310,46.242.11.176,RU
311,46.242.14.23,RU
312,46.250.95.49,RU
313,46.29.164.114,RU
314,46.39.254.112,RU
315,46.39.53.6,RU
316,46.41.78.224,RU
317,46.46.134.83,RU
318,46.46.151.21,RU
319,46.47.21.142,RU
320,5.128.37.77,RU
321,5.136.120.46,RU
322,5.136.239.252,RU
323,5.137.83.222,RU
324,5.139.27.50,RU
325,5.140.67.195,RU
326,5.16.124.15,RU
327,5.164.189.45,RU
328,5.164.204.65,RU
329,5.164.29.193,RU
330,5.165.181.56,RU
331,5.165.200.0,RU
332,5.165.213.197,RU
333,5.165.240.190,RU
334,5.165.35.82,RU
335,5.165.7.175,RU
336,5.166.168.177,RU
337,5.166.59.156,RU
338,5.175.94.171,RU
339,5.18.145.18,RU
340,5.18.178.133,RU
341,5.18.235.100,RU
342,5.18.251.219,RU
343,5.18.254.18,RU
344,5.188.210.190,RU
345,5.188.35.36,RU
346,5.3.218.182,RU
347,5.3.240.117,RU
348,5.44.168.123,RU
349,5.44.169.90,RU
350,62.118.72.70,RU
351,62.152.54.45,RU
352,62.165.36.110,RU
353,62.204.41.137,RU
354,62.204.41.80,RU
355,62.217.186.105,RU
356,62.217.191.141,RU
357,62.233.50.217,RU
358,62.33.72.160,RU
359,77.108.120.14,RU
360,77.222.106.244,RU
361,77.222.107.136,RU
362,77.222.96.96,RU
363,77.34.10.50,RU
364,77.34.150.206,RU
365,77.34.83.136,RU
366,77.35.195.55,RU
367,77.37.192.83,RU
368,77.37.251.72,RU
369,77.40.99.21,RU
370,77.82.254.96,RU
371,77.88.21.119,RU
372,77.88.21.90,RU
373,77.91.229.218,RU
374,78.106.192.216,RU
375,78.106.94.255,RU
376,78.107.0.69,RU
377,78.107.0.9,RU
378,78.107.207.169,RU
379,78.107.250.174,RU
380,78.132.212.248,RU
381,78.31.177.179,RU
382,78.36.2.223,RU
383,78.37.16.27,RU
384,78.81.151.234,RU
385,79.104.5.152,RU
386,79.105.123.18,RU
387,79.105.69.83,RU
388,79.111.223.119,RU
389,79.111.25.121,RU
390,79.111.60.235,RU
391,79.126.75.44,RU
392,79.133.129.236,RU
393,79.135.66.156,RU
394,79.136.218.209,RU
395,79.139.163.55,RU
396,79.139.170.190,RU
397,79.139.196.166,RU
398,79.164.219.241,RU
399,79.173.114.176,RU
400,80.234.68.201,RU
401,80.234.76.182,RU
402,80.239.201.76,RU
403,80.246.81.187,RU
404,80.66.146.82,RU
405,80.66.77.236,RU
406,80.66.77.237,RU
407,80.76.61.193,RU
408,80.85.157.85,RU
409,80.92.8.176,RU
410,80.95.45.234,RU
411,81.177.122.180,RU
412,81.23.183.7,RU
413,81.5.119.20,RU
414,82.148.30.244,RU
415,82.194.179.65,RU
416,82.200.52.7,RU
417,82.200.86.210,RU
418,82.202.251.244,RU
419,83.174.193.196,RU
420,84.18.98.202,RU
421,84.42.124.210,RU
422,85.114.2.27,RU
423,85.143.174.77,RU
424,85.143.216.253,RU
425,85.15.151.44,RU
426,85.173.127.70,RU
427,85.173.133.250,RU
428,85.174.203.77,RU
429,85.249.163.152,RU
430,85.249.53.219,RU
431,85.26.164.131,RU
432,85.91.223.113,RU
433,85.95.189.172,RU
434,86.102.174.196,RU
435,86.62.96.39,RU
436,87.103.192.129,RU
437,87.117.54.43,RU
438,87.225.2.10,RU
439,87.229.250.222,RU
440,87.237.117.245,RU
441,87.240.169.0,RU
442,87.240.169.1,RU
443,87.240.169.2,RU
444,87.240.185.129,RU
445,87.240.185.130,RU
446,87.240.185.131,RU
447,87.240.185.133,RU
448,87.240.185.135,RU
449,87.240.185.137,RU
450,87.240.185.139,RU
451,87.240.185.143,RU
452,87.240.185.146,RU
453,87.240.185.147,RU
454,87.240.185.149,RU
455,87.240.185.153,RU
456,87.240.185.155,RU
457,87.240.185.156,RU
458,87.240.185.157,RU
459,87.240.185.160,RU
460,87.240.185.162,RU
461,87.240.185.165,RU
462,87.240.185.166,RU
463,87.240.185.168,RU
464,87.240.185.171,RU
465,87.250.250.119,RU
466,87.250.250.90,RU
467,87.250.251.119,RU
468,88.201.208.120,RU
469,88.204.17.129,RU
470,88.204.36.29,RU
471,88.204.56.137,RU
472,88.206.47.11,RU
473,88.210.21.127,RU
474,88.84.209.4,RU
475,89.109.176.86,RU
476,89.109.48.30,RU
477,89.109.50.78,RU
478,89.169.17.61,RU
479,89.178.149.55,RU
480,89.178.96.100,RU
481,89.179.46.199,RU
482,89.188.180.129,RU
483,89.19.177.19,RU
484,89.208.79.250,RU
485,89.22.182.25,RU
486,89.250.167.96,RU
487,89.251.75.183,RU
488,90.151.128.86,RU
489,90.154.70.149,RU
490,90.188.16.56,RU
491,90.188.41.224,RU
492,90.188.57.76,RU
493,91.105.141.135,RU
494,91.105.182.36,RU
495,91.108.29.120,RU
496,91.108.32.163,RU
497,91.194.246.154,RU
498,91.195.204.108,RU
499,91.204.150.130,RU
500,91.207.136.85,RU
501,91.208.84.223,RU
502,91.210.192.132,RU
503,91.210.46.49,RU
504,91.218.18.39,RU
505,91.218.230.81,RU
506,91.219.188.175,RU
507,91.219.196.128,RU
508,91.219.234.190,RU
509,91.222.49.46,RU
510,91.223.89.121,RU
511,91.225.222.71,RU
512,91.230.210.146,RU
513,91.233.242.180,RU
514,91.240.118.221,RU
515,91.240.118.224,RU
516,91.240.118.71,RU
517,91.240.118.75,RU
518,91.240.118.77,RU
519,91.240.209.90,RU
520,91.245.129.212,RU
521,91.77.168.184,RU
522,92.101.214.34,RU
523,92.101.233.120,RU
524,92.101.43.44,RU
525,92.119.186.18,RU
526,92.124.162.136,RU
527,92.124.162.211,RU
528,92.126.116.26,RU
529,92.127.174.102,RU
530,92.241.171.245,RU
531,92.248.131.183,RU
532,92.255.136.212,RU
533,92.255.140.60,RU
534,92.255.98.18,RU
535,92.37.142.103,RU
536,92.37.167.193,RU
537,92.37.178.211,RU
538,92.62.56.127,RU
539,92.63.200.135,RU
540,93.100.254.45,RU
541,93.114.142.112,RU
542,93.120.215.65,RU
543,93.157.144.123,RU
544,93.158.134.119,RU
545,93.158.134.90,RU
546,93.171.102.9,RU
547,93.171.173.51,RU
548,93.174.52.196,RU
549,93.177.57.187,RU
550,93.178.111.74,RU
551,93.182.20.33,RU
552,93.186.227.128,RU
553,93.186.227.130,RU
554,93.186.227.133,RU
555,93.186.227.134,RU
556,93.186.227.136,RU
557,93.186.227.139,RU
558,93.186.227.141,RU
559,93.186.227.144,RU
560,93.186.227.148,RU
561,93.186.227.149,RU
562,93.186.227.151,RU
563,93.186.227.152,RU
564,93.186.227.154,RU
565,93.186.227.158,RU
566,93.186.227.159,RU
567,93.80.244.30,RU
568,93.94.176.4,RU
569,94.143.245.194,RU
570,94.158.41.124,RU
571,94.159.64.10,RU
572,94.180.63.59,RU
573,94.181.26.143,RU
574,94.181.83.70,RU
575,94.19.148.142,RU
576,94.190.90.233,RU
577,94.198.234.243,RU
578,94.228.192.98,RU
579,94.232.94.155,RU
580,94.245.129.183,RU
581,94.25.172.74,RU
582,94.28.58.110,RU
583,94.45.214.37,RU
584,94.73.238.153,RU
585,95.107.43.194,RU
586,95.107.48.115,RU
587,95.129.166.130,RU
588,95.131.149.33,RU
589,95.154.71.131,RU
590,95.161.223.246,RU
591,95.163.41.56,RU
592,95.165.155.191,RU
593,95.167.199.220,RU
594,95.170.181.220,RU
595,95.179.124.232,RU
596,95.183.67.223,RU
597,95.189.196.31,RU
598,95.190.125.19,RU
599,95.213.191.124,RU
600,95.215.50.99,RU
601,95.24.203.9,RU
602,95.24.54.153,RU
603,95.27.40.93,RU
604,95.29.161.200,RU
605,95.29.165.3,RU
606,95.31.177.178,RU
607,95.32.38.118,RU
608,95.32.90.99,RU
609,95.54.230.251,RU
610,95.55.141.2,RU
611,95.67.231.69,RU
612,95.70.104.149,RU
613,95.70.70.52,RU
614,95.71.18.83,RU
615,95.72.252.192,RU
616,95.72.90.73,RU
617,95.73.114.93,RU
618,95.78.108.173,RU
619,95.78.23.10,RU
620,95.81.221.211,RU
621,95.81.236.116,RU
622,95.84.202.172,RU
