target_ip,target_geo_country
13.227.254.94,SG
13.227.254.99,SG
23.200.24.43,SG
17.248.164.108,SG
13.33.100.61,SG
52.76.228.161,SG
173.194.22.169,SG
18.142.201.37,SG
192.166.246.143,SG
203.116.175.163,SG
13.228.90.32,SG
52.76.40.178,SG
121.7.89.176,SG
31.13.68.1,SG
13.33.88.116,SG
3.1.152.102,SG
23.49.60.129,SG
96.16.116.196,SG
101.32.104.177,SG
17.248.154.11,SG
54.192.150.89,SG
23.52.113.101,SG
74.125.68.155,SG
52.76.243.108,SG
157.240.13.55,SG
23.210.250.80,SG
43.132.80.22,SG
13.33.28.118,SG
121.6.48.26,SG
23.195.152.208,SG
184.27.122.40,SG
52.98.71.50,SG
23.15.110.65,SG
23.49.60.202,SG
51.79.164.247,SG
188.42.147.32,SG
3.1.123.42,SG
23.59.80.33,SG
51.79.222.34,SG
23.215.7.84,SG
23.210.250.107,SG
175.41.187.144,SG
54.179.75.107,SG
54.169.104.250,SG
116.87.186.130,SG
157.240.7.53,SG
13.33.100.94,SG
23.75.23.57,SG
52.114.15.181,SG
74.125.171.73,SG
203.116.175.171,SG
54.192.150.44,SG
18.136.86.75,SG
52.84.251.9,SG
203.116.175.32,SG
104.69.163.61,SG
180.87.173.16,SG
17.248.154.17,SG
54.192.150.12,SG
13.33.88.87,SG
51.79.165.204,SG
104.69.163.60,SG
104.69.32.93,SG
17.248.164.45,SG
52.77.133.180,SG
23.220.203.115,SG
89.187.163.193,SG
52.220.33.166,SG
54.251.192.147,SG
23.54.56.156,SG
3.1.149.134,SG
104.83.197.140,SG
23.73.13.201,SG
167.71.195.165,SG
23.59.80.224,SG
52.74.88.135,SG
129.227.82.185,SG
89.187.162.21,SG
51.79.130.26,SG
17.248.154.3,SG
43.132.80.244,SG
17.248.164.12,SG
54.192.150.36,SG
165.21.111.145,SG
20.190.163.29,SG
23.5.165.18,SG
3.1.15.205,SG
17.248.164.82,SG
101.33.26.124,SG
103.151.126.72,SG
103.231.98.195,SG
13.33.88.101,SG
18.142.135.199,SG
150.109.90.54,SG
116.87.131.164,SG
52.98.90.178,SG
17.248.164.47,SG
116.14.207.20,SG
184.27.122.48,SG
52.84.251.24,SG
17.253.61.220,SG
101.33.26.140,SG
13.227.254.35,SG
31.13.68.34,SG
103.1.138.196,SG
13.35.18.228,SG
117.121.250.156,SG
40.99.10.66,SG
54.192.151.123,SG
20.212.128.44,SG
52.220.200.42,SG
54.192.150.58,SG
3.0.25.35,SG
13.33.33.53,SG
13.33.100.30,SG
23.39.12.48,SG
203.117.35.17,SG
40.119.249.228,SG
72.247.81.153,SG
23.5.165.11,SG
23.205.209.121,SG
20.212.96.199,SG
165.21.111.147,SG
74.125.200.139,SG
54.169.248.42,SG
192.166.246.41,SG
203.116.175.128,SG
23.50.92.154,SG
74.125.68.154,SG
18.140.39.47,SG
23.36.252.78,SG
150.109.90.59,SG
172.224.26.138,SG
13.33.33.41,SG
84.17.39.169,SG
51.79.204.59,SG
138.199.60.185,SG
203.116.175.170,SG
54.192.150.67,SG
157.240.13.1,SG
58.182.177.133,SG
52.221.62.54,SG
23.205.208.247,SG
104.70.101.66,SG
54.192.150.77,SG
161.117.96.24,SG
18.138.223.207,SG
13.251.71.45,SG
204.246.164.112,SG
185.200.117.142,SG
52.98.33.130,SG
23.5.165.146,SG
52.84.251.50,SG
52.74.243.124,SG
121.7.140.29,SG
43.132.81.247,SG
104.69.42.77,SG
17.248.164.17,SG
17.248.164.10,SG
54.192.150.37,SG
54.151.230.219,SG
157.240.13.174,SG
13.33.33.38,SG
161.117.32.237,SG
13.33.92.224,SG
45.40.48.215,SG
13.227.248.101,SG
157.240.13.14,SG
23.47.190.131,SG
161.117.125.44,SG
184.87.200.27,SG
172.217.194.97,SG
23.5.165.66,SG
20.44.239.154,SG
13.67.74.235,SG
18.140.168.176,SG
3.1.22.50,SG
13.33.33.70,SG
203.205.159.17,SG
104.89.118.22,SG
52.76.156.186,SG
52.77.93.191,SG
17.253.61.216,SG
157.240.13.48,SG
139.99.45.37,SG
23.52.171.137,SG
17.248.164.44,SG
150.109.90.118,SG
203.116.175.122,SG
17.253.61.215,SG
172.217.194.132,SG
52.111.240.11,SG
51.79.158.73,SG
184.50.97.221,SG
116.0.81.227,SG
13.251.233.244,SG
52.84.251.86,SG
101.32.143.30,SG
184.87.193.72,SG
13.33.33.108,SG
74.125.68.153,SG
156.246.18.131,SG
