target_ip,target_geo_country,Time Run,Processed?
13.227.254.94,SG,2023-02-28 21:11:05.209929,Not Processed due to DUPLICATE in past 7 days
13.227.254.99,SG,2023-02-28 21:11:05.212809,Not Processed due to DUPLICATE in past 7 days
23.200.24.43,SG,2023-02-28 21:11:05.216051,Not Processed due to DUPLICATE in past 7 days
17.248.164.108,SG,2023-02-28 21:11:05.218313,Not Processed due to DUPLICATE in past 7 days
13.33.100.61,SG,2023-02-28 21:11:05.220549,Not Processed due to DUPLICATE in past 7 days
52.76.228.161,SG,2023-02-28 21:11:05.222781,Not Processed due to DUPLICATE in past 7 days
173.194.22.169,SG,2023-02-28 21:11:05.225601,Not Processed due to DUPLICATE in past 7 days
18.142.201.37,SG,2023-02-28 21:11:05.228304,Not Processed due to DUPLICATE in past 7 days
192.166.246.143,SG,2023-02-28 21:11:05.230548,Not Processed due to DUPLICATE in past 7 days
203.116.175.163,SG,2023-02-28 21:11:05.232714,Not Processed due to DUPLICATE in past 7 days
13.228.90.32,SG,2023-02-28 21:11:05.234858,Not Processed due to DUPLICATE in past 7 days
52.76.40.178,SG,2023-02-28 21:11:05.237012,Not Processed due to DUPLICATE in past 7 days
121.7.89.176,SG,2023-02-28 21:11:05.238992,Not Processed due to DUPLICATE in past 7 days
31.13.68.1,SG,2023-02-28 21:11:05.240866,Not Processed due to DUPLICATE in past 7 days
13.33.88.116,SG,2023-02-28 21:11:05.244092,Not Processed due to DUPLICATE in past 7 days
3.1.152.102,SG,2023-02-28 21:11:05.246721,Not Processed due to DUPLICATE in past 7 days
23.49.60.129,SG,2023-02-28 21:11:05.248711,Not Processed due to DUPLICATE in past 7 days
96.16.116.196,SG,2023-02-28 21:11:05.252057,Not Processed due to DUPLICATE in past 7 days
101.32.104.177,SG,2023-02-28 21:11:05.254487,Not Processed due to DUPLICATE in past 7 days
17.248.154.11,SG,2023-02-28 21:11:05.256756,Not Processed due to DUPLICATE in past 7 days
54.192.150.89,SG,2023-02-28 21:11:05.259685,Not Processed due to DUPLICATE in past 7 days
23.52.113.101,SG,2023-02-28 21:11:05.262919,Not Processed due to DUPLICATE in past 7 days
74.125.68.155,SG,2023-02-28 21:11:05.266115,Not Processed due to DUPLICATE in past 7 days
52.76.243.108,SG,2023-02-28 21:11:05.268737,Not Processed due to DUPLICATE in past 7 days
157.240.13.55,SG,2023-02-28 21:11:05.271216,Not Processed due to DUPLICATE in past 7 days
23.210.250.80,SG,2023-02-28 21:11:05.273647,Not Processed due to DUPLICATE in past 7 days
43.132.80.22,SG,2023-02-28 21:11:05.276800,Not Processed due to DUPLICATE in past 7 days
13.33.28.118,SG,2023-02-28 21:11:05.279569,Not Processed due to DUPLICATE in past 7 days
121.6.48.26,SG,2023-02-28 21:11:05.282345,Not Processed due to DUPLICATE in past 7 days
23.195.152.208,SG,2023-02-28 21:11:05.285613,Not Processed due to DUPLICATE in past 7 days
184.27.122.40,SG,2023-02-28 21:11:05.290601,Not Processed due to DUPLICATE in past 7 days
52.98.71.50,SG,2023-02-28 21:11:05.294658,Not Processed due to DUPLICATE in past 7 days
