target_ip,target_geo_country,Time Run,Processed?
13.227.254.94,SG,2023-02-28 20:46:35.184477,Not Processed due to DUPLICATE in past 7 days
13.227.254.99,SG,2023-02-28 20:46:35.187976,Not Processed due to DUPLICATE in past 7 days
23.200.24.43,SG,2023-02-28 20:46:35.190460,Not Processed due to DUPLICATE in past 7 days
17.248.164.108,SG,2023-02-28 20:46:35.192836,Not Processed due to DUPLICATE in past 7 days
13.33.100.61,SG,2023-02-28 20:46:35.195183,Not Processed due to DUPLICATE in past 7 days
52.76.228.161,SG,2023-02-28 20:46:35.197522,Not Processed due to DUPLICATE in past 7 days
173.194.22.169,SG,2023-02-28 20:46:35.200532,Not Processed due to DUPLICATE in past 7 days
18.142.201.37,SG,2023-02-28 20:46:35.202956,Not Processed due to DUPLICATE in past 7 days
192.166.246.143,SG,2023-02-28 20:46:35.205337,Not Processed due to DUPLICATE in past 7 days
203.116.175.163,SG,2023-02-28 20:46:35.207730,Not Processed due to DUPLICATE in past 7 days
13.228.90.32,SG,2023-02-28 20:46:35.210012,Not Processed due to DUPLICATE in past 7 days
52.76.40.178,SG,2023-02-28 20:46:35.212442,Not Processed due to DUPLICATE in past 7 days
121.7.89.176,SG,2023-02-28 20:46:35.215169,Not Processed due to DUPLICATE in past 7 days
31.13.68.1,SG,2023-02-28 20:46:35.217741,Not Processed due to DUPLICATE in past 7 days
13.33.88.116,SG,2023-02-28 20:46:35.220413,Not Processed due to DUPLICATE in past 7 days
3.1.152.102,SG,2023-02-28 20:46:35.223127,Not Processed due to DUPLICATE in past 7 days
23.49.60.129,SG,2023-02-28 20:46:35.225895,Not Processed due to DUPLICATE in past 7 days
96.16.116.196,SG,2023-02-28 20:46:35.228481,Not Processed due to DUPLICATE in past 7 days
101.32.104.177,SG,2023-02-28 20:46:35.233347,Not Processed due to DUPLICATE in past 7 days
17.248.154.11,SG,2023-02-28 20:46:35.236338,Not Processed due to DUPLICATE in past 7 days
54.192.150.89,SG,2023-02-28 20:46:35.240327,Not Processed due to DUPLICATE in past 7 days
23.52.113.101,SG,2023-02-28 20:46:35.243320,Not Processed due to DUPLICATE in past 7 days
74.125.68.155,SG,2023-02-28 20:46:35.247308,Not Processed due to DUPLICATE in past 7 days
52.76.243.108,SG,2023-02-28 20:46:35.250301,Not Processed due to DUPLICATE in past 7 days
157.240.13.55,SG,2023-02-28 20:46:35.253294,Not Processed due to DUPLICATE in past 7 days
23.210.250.80,SG,2023-02-28 20:46:35.256380,Not Processed due to DUPLICATE in past 7 days
43.132.80.22,SG,2023-02-28 20:46:35.259357,Not Processed due to DUPLICATE in past 7 days
13.33.28.118,SG,2023-02-28 20:46:35.262270,Not Processed due to DUPLICATE in past 7 days
121.6.48.26,SG,2023-02-28 20:46:35.265262,Not Processed due to DUPLICATE in past 7 days
23.195.152.208,SG,2023-02-28 20:46:35.268252,Not Processed due to DUPLICATE in past 7 days
184.27.122.40,SG,2023-02-28 20:46:35.271609,Not Processed due to DUPLICATE in past 7 days
52.98.71.50,SG,2023-02-28 20:46:35.274236,Not Processed due to DUPLICATE in past 7 days
23.15.110.65,SG,2023-02-28 20:46:35.277292,Not Processed due to DUPLICATE in past 7 days
23.49.60.202,SG,2023-02-28 20:46:35.281256,Not Processed due to DUPLICATE in past 7 days
51.79.164.247,SG,2023-02-28 20:46:35.284211,Not Processed due to DUPLICATE in past 7 days
188.42.147.32,SG,2023-02-28 20:46:35.287733,Not Processed due to DUPLICATE in past 7 days
3.1.123.42,SG,2023-02-28 20:46:35.291190,Not Processed due to DUPLICATE in past 7 days
23.59.80.33,SG,2023-02-28 20:46:35.294182,Not Processed due to DUPLICATE in past 7 days
51.79.222.34,SG,2023-02-28 20:46:35.297639,Not Processed due to DUPLICATE in past 7 days
23.215.7.84,SG,2023-02-28 20:46:35.300826,Not Processed due to DUPLICATE in past 7 days
23.210.250.107,SG,2023-02-28 20:46:35.304157,Not Processed due to DUPLICATE in past 7 days
175.41.187.144,SG,2023-02-28 20:46:35.307250,Not Processed due to DUPLICATE in past 7 days
54.179.75.107,SG,2023-02-28 20:46:35.311139,Not Processed due to DUPLICATE in past 7 days
54.169.104.250,SG,2023-02-28 20:46:35.314132,Not Processed due to DUPLICATE in past 7 days
116.87.186.130,SG,2023-02-28 20:46:35.316143,Not Processed due to DUPLICATE in past 7 days
157.240.7.53,SG,2023-02-28 20:46:35.320114,Not Processed due to DUPLICATE in past 7 days
13.33.100.94,SG,2023-02-28 20:46:35.323107,Not Processed due to DUPLICATE in past 7 days
23.75.23.57,SG,2023-02-28 20:46:35.327326,Not Processed due to DUPLICATE in past 7 days
52.114.15.181,SG,2023-02-28 20:46:35.330112,Not Processed due to DUPLICATE in past 7 days
74.125.171.73,SG,2023-02-28 20:46:35.333078,Not Processed due to DUPLICATE in past 7 days
203.116.175.171,SG,2023-02-28 20:46:35.336071,Not Processed due to DUPLICATE in past 7 days
54.192.150.44,SG,2023-02-28 20:46:35.340060,Not Processed due to DUPLICATE in past 7 days
18.136.86.75,SG,2023-02-28 20:46:35.345047,Not Processed due to DUPLICATE in past 7 days
52.84.251.9,SG,2023-02-28 20:46:35.348040,Not Processed due to DUPLICATE in past 7 days
203.116.175.32,SG,2023-02-28 20:46:35.351661,Not Processed due to DUPLICATE in past 7 days
104.69.163.61,SG,2023-02-28 20:46:35.355022,Not Processed due to DUPLICATE in past 7 days
180.87.173.16,SG,2023-02-28 20:46:35.360008,Not Processed due to DUPLICATE in past 7 days
17.248.154.17,SG,2023-02-28 20:46:35.363996,Not Processed due to DUPLICATE in past 7 days
54.192.150.12,SG,2023-02-28 20:46:35.367986,Not Processed due to DUPLICATE in past 7 days
13.33.88.87,SG,2023-02-28 20:46:35.371974,Not Processed due to DUPLICATE in past 7 days
51.79.165.204,SG,2023-02-28 20:46:35.375476,Not Processed due to DUPLICATE in past 7 days
104.69.163.60,SG,2023-02-28 20:46:35.378046,Not Processed due to DUPLICATE in past 7 days
104.69.32.93,SG,2023-02-28 20:46:35.381172,Not Processed due to DUPLICATE in past 7 days
17.248.164.45,SG,2023-02-28 20:46:35.385940,Not Processed due to DUPLICATE in past 7 days
52.77.133.180,SG,2023-02-28 20:46:35.391257,Not Processed due to DUPLICATE in past 7 days
23.220.203.115,SG,2023-02-28 20:46:35.394915,Not Processed due to DUPLICATE in past 7 days
89.187.163.193,SG,2023-02-28 20:46:35.397905,Not Processed due to DUPLICATE in past 7 days
52.220.33.166,SG,2023-02-28 20:46:35.400516,Not Processed due to DUPLICATE in past 7 days
54.251.192.147,SG,2023-02-28 20:46:35.402924,Not Processed due to DUPLICATE in past 7 days
23.54.56.156,SG,2023-02-28 20:46:35.404919,Not Processed due to DUPLICATE in past 7 days
3.1.149.134,SG,2023-02-28 20:46:35.407897,Not Processed due to DUPLICATE in past 7 days
104.83.197.140,SG,2023-02-28 20:46:35.410871,Not Processed due to DUPLICATE in past 7 days
23.73.13.201,SG,2023-02-28 20:46:35.413863,Not Processed due to DUPLICATE in past 7 days
167.71.195.165,SG,2023-02-28 20:46:35.415857,Not Processed due to DUPLICATE in past 7 days
23.59.80.224,SG,2023-02-28 20:46:35.418912,Not Processed due to DUPLICATE in past 7 days
52.74.88.135,SG,2023-02-28 20:46:35.420844,Not Processed due to DUPLICATE in past 7 days
129.227.82.185,SG,2023-02-28 20:46:35.422838,Not Processed due to DUPLICATE in past 7 days
89.187.162.21,SG,2023-02-28 20:46:35.425831,Not Processed due to DUPLICATE in past 7 days
51.79.130.26,SG,2023-02-28 20:46:35.427825,Not Processed due to DUPLICATE in past 7 days
17.248.154.3,SG,2023-02-28 20:46:35.430817,Not Processed due to DUPLICATE in past 7 days
43.132.80.244,SG,2023-02-28 20:46:35.433809,Not Processed due to DUPLICATE in past 7 days
17.248.164.12,SG,2023-02-28 20:46:35.435804,Not Processed due to DUPLICATE in past 7 days
54.192.150.36,SG,2023-02-28 20:46:35.439969,Not Processed due to DUPLICATE in past 7 days
165.21.111.145,SG,2023-02-28 20:46:35.443343,Not Processed due to DUPLICATE in past 7 days
20.190.163.29,SG,2023-02-28 20:46:35.445777,Not Processed due to DUPLICATE in past 7 days
23.5.165.18,SG,2023-02-28 20:46:35.447772,Not Processed due to DUPLICATE in past 7 days
3.1.15.205,SG,2023-02-28 20:46:35.450764,Not Processed due to DUPLICATE in past 7 days
17.248.164.82,SG,2023-02-28 20:46:35.452759,Not Processed due to DUPLICATE in past 7 days
101.33.26.124,SG,2023-02-28 20:46:35.455171,Not Processed due to DUPLICATE in past 7 days
103.151.126.72,SG,2023-02-28 20:46:35.457746,Not Processed due to DUPLICATE in past 7 days
103.231.98.195,SG,2023-02-28 20:46:35.460770,Not Processed due to DUPLICATE in past 7 days
13.33.88.101,SG,2023-02-28 20:46:35.462765,Not Processed due to DUPLICATE in past 7 days
18.142.135.199,SG,2023-02-28 20:46:35.465724,Not Processed due to DUPLICATE in past 7 days
150.109.90.54,SG,2023-02-28 20:46:35.469713,Not Processed due to DUPLICATE in past 7 days
116.87.131.164,SG,2023-02-28 20:46:35.471756,Not Processed due to DUPLICATE in past 7 days
52.98.90.178,SG,2023-02-28 20:46:35.475177,Not Processed due to DUPLICATE in past 7 days
17.248.164.47,SG,2023-02-28 20:46:35.476727,Not Processed due to DUPLICATE in past 7 days
116.14.207.20,SG,2023-02-28 20:46:35.479687,Not Processed due to DUPLICATE in past 7 days
184.27.122.48,SG,2023-02-28 20:46:35.481681,Not Processed due to DUPLICATE in past 7 days
52.84.251.24,SG,2023-02-28 20:46:35.484689,Not Processed due to DUPLICATE in past 7 days
17.253.61.220,SG,2023-02-28 20:46:35.486940,Not Processed due to DUPLICATE in past 7 days
101.33.26.140,SG,2023-02-28 20:46:35.488689,Not Processed due to DUPLICATE in past 7 days
13.227.254.35,SG,2023-02-28 20:46:35.491662,Not Processed due to DUPLICATE in past 7 days
31.13.68.34,SG,2023-02-28 20:46:35.493677,Not Processed due to DUPLICATE in past 7 days
103.1.138.196,SG,2023-02-28 20:46:35.496642,Not Processed due to DUPLICATE in past 7 days
13.35.18.228,SG,2023-02-28 20:46:35.499635,Not Processed due to DUPLICATE in past 7 days
117.121.250.156,SG,2023-02-28 20:46:35.503623,Not Processed due to DUPLICATE in past 7 days
40.99.10.66,SG,2023-02-28 20:46:35.506314,Not Processed due to DUPLICATE in past 7 days
54.192.151.123,SG,2023-02-28 20:46:35.508771,Not Processed due to DUPLICATE in past 7 days
20.212.128.44,SG,2023-02-28 20:46:35.511873,Not Processed due to DUPLICATE in past 7 days
52.220.200.42,SG,2023-02-28 20:46:35.513935,Not Processed due to DUPLICATE in past 7 days
54.192.150.58,SG,2023-02-28 20:46:35.516006,Not Processed due to DUPLICATE in past 7 days
3.0.25.35,SG,2023-02-28 20:46:35.518041,Not Processed due to DUPLICATE in past 7 days
13.33.33.53,SG,2023-02-28 20:46:35.519992,Not Processed due to DUPLICATE in past 7 days
13.33.100.30,SG,2023-02-28 20:46:35.522109,Not Processed due to DUPLICATE in past 7 days
23.39.12.48,SG,2023-02-28 20:46:35.524303,Not Processed due to DUPLICATE in past 7 days
203.117.35.17,SG,2023-02-28 20:46:35.526563,Not Processed due to DUPLICATE in past 7 days
40.119.249.228,SG,2023-02-28 20:46:35.530567,Not Processed due to DUPLICATE in past 7 days
72.247.81.153,SG,2023-02-28 20:46:35.533543,Not Processed due to DUPLICATE in past 7 days
23.5.165.11,SG,2023-02-28 20:46:35.536222,Not Processed due to DUPLICATE in past 7 days
23.205.209.121,SG,2023-02-28 20:46:35.538326,Not Processed due to DUPLICATE in past 7 days
20.212.96.199,SG,2023-02-28 20:46:35.539527,Not Processed due to DUPLICATE in past 7 days
165.21.111.147,SG,2023-02-28 20:46:35.543348,Not Processed due to DUPLICATE in past 7 days
74.125.200.139,SG,2023-02-28 20:46:35.546733,Not Processed due to DUPLICATE in past 7 days
54.169.248.42,SG,2023-02-28 20:46:35.549586,Not Processed due to DUPLICATE in past 7 days
192.166.246.41,SG,2023-02-28 20:46:35.551663,Not Processed due to DUPLICATE in past 7 days
203.116.175.128,SG,2023-02-28 20:46:35.553522,Not Processed due to DUPLICATE in past 7 days
23.50.92.154,SG,2023-02-28 20:46:35.555517,Not Processed due to DUPLICATE in past 7 days
74.125.68.154,SG,2023-02-28 20:46:35.559054,Not Processed due to DUPLICATE in past 7 days
18.140.39.47,SG,2023-02-28 20:46:35.561754,Not Processed due to DUPLICATE in past 7 days
23.36.252.78,SG,2023-02-28 20:46:35.564460,Not Processed due to DUPLICATE in past 7 days
150.109.90.59,SG,2023-02-28 20:46:35.567487,Not Processed due to DUPLICATE in past 7 days
172.224.26.138,SG,2023-02-28 20:46:35.570625,Not Processed due to DUPLICATE in past 7 days
13.33.33.41,SG,2023-02-28 20:46:35.574261,Not Processed due to DUPLICATE in past 7 days
84.17.39.169,SG,2023-02-28 20:46:35.577351,Not Processed due to DUPLICATE in past 7 days
51.79.204.59,SG,2023-02-28 20:46:35.579680,Not Processed due to DUPLICATE in past 7 days
138.199.60.185,SG,2023-02-28 20:46:35.581767,Not Processed due to DUPLICATE in past 7 days
203.116.175.170,SG,2023-02-28 20:46:35.583845,Not Processed due to DUPLICATE in past 7 days
54.192.150.67,SG,2023-02-28 20:46:35.585939,Not Processed due to DUPLICATE in past 7 days
157.240.13.1,SG,2023-02-28 20:46:35.588396,Not Processed due to DUPLICATE in past 7 days
58.182.177.133,SG,2023-02-28 20:46:35.591797,Not Processed due to DUPLICATE in past 7 days
52.221.62.54,SG,2023-02-28 20:46:35.594675,Not Processed due to DUPLICATE in past 7 days
23.205.208.247,SG,2023-02-28 20:46:35.597555,Not Processed due to DUPLICATE in past 7 days
104.70.101.66,SG,2023-02-28 20:46:35.599399,Not Processed due to DUPLICATE in past 7 days
54.192.150.77,SG,2023-02-28 20:46:35.601590,Not Processed due to DUPLICATE in past 7 days
161.117.96.24,SG,2023-02-28 20:46:35.604150,Not Processed due to DUPLICATE in past 7 days
18.138.223.207,SG,2023-02-28 20:46:35.606785,Not Processed due to DUPLICATE in past 7 days
13.251.71.45,SG,2023-02-28 20:46:35.609340,Not Processed due to DUPLICATE in past 7 days
204.246.164.112,SG,2023-02-28 20:46:35.612607,Not Processed due to DUPLICATE in past 7 days
185.200.117.142,SG,2023-02-28 20:46:35.614618,Not Processed due to DUPLICATE in past 7 days
52.98.33.130,SG,2023-02-28 20:46:35.616610,Not Processed due to DUPLICATE in past 7 days
23.5.165.146,SG,2023-02-28 20:46:35.619314,Not Processed due to DUPLICATE in past 7 days
52.84.251.50,SG,2023-02-28 20:46:35.622735,Not Processed due to DUPLICATE in past 7 days
52.74.243.124,SG,2023-02-28 20:46:35.625332,Not Processed due to DUPLICATE in past 7 days
121.7.140.29,SG,2023-02-28 20:46:35.628019,Not Processed due to DUPLICATE in past 7 days
43.132.81.247,SG,2023-02-28 20:46:35.630075,Not Processed due to DUPLICATE in past 7 days
104.69.42.77,SG,2023-02-28 20:46:35.632053,Not Processed due to DUPLICATE in past 7 days
17.248.164.17,SG,2023-02-28 20:46:35.634125,Not Processed due to DUPLICATE in past 7 days
17.248.164.10,SG,2023-02-28 20:46:35.636143,Not Processed due to DUPLICATE in past 7 days
54.192.150.37,SG,2023-02-28 20:46:35.638244,Not Processed due to DUPLICATE in past 7 days
54.151.230.219,SG,2023-02-28 20:46:35.640297,Not Processed due to DUPLICATE in past 7 days
157.240.13.174,SG,2023-02-28 20:46:35.642926,Not Processed due to DUPLICATE in past 7 days
13.33.33.38,SG,2023-02-28 20:46:35.645124,Not Processed due to DUPLICATE in past 7 days
161.117.32.237,SG,2023-02-28 20:46:35.647173,Not Processed due to DUPLICATE in past 7 days
13.33.92.224,SG,2023-02-28 20:46:35.649317,Not Processed due to DUPLICATE in past 7 days
45.40.48.215,SG,2023-02-28 20:46:35.652729,Not Processed due to DUPLICATE in past 7 days
13.227.248.101,SG,2023-02-28 20:46:35.655218,Not Processed due to DUPLICATE in past 7 days
157.240.13.14,SG,2023-02-28 20:46:35.657252,Not Processed due to DUPLICATE in past 7 days
23.47.190.131,SG,2023-02-28 20:46:35.660763,Not Processed due to DUPLICATE in past 7 days
161.117.125.44,SG,2023-02-28 20:46:35.662883,Not Processed due to DUPLICATE in past 7 days
184.87.200.27,SG,2023-02-28 20:46:35.665190,Not Processed due to DUPLICATE in past 7 days
172.217.194.97,SG,2023-02-28 20:46:35.668182,Not Processed due to DUPLICATE in past 7 days
23.5.165.66,SG,2023-02-28 20:46:35.670815,Not Processed due to DUPLICATE in past 7 days
20.44.239.154,SG,2023-02-28 20:46:35.672990,Not Processed due to DUPLICATE in past 7 days
13.67.74.235,SG,2023-02-28 20:46:35.675164,Not Processed due to DUPLICATE in past 7 days
18.140.168.176,SG,2023-02-28 20:46:35.677396,Not Processed due to DUPLICATE in past 7 days
3.1.22.50,SG,2023-02-28 20:46:35.683481,Not Processed due to DUPLICATE in past 7 days
13.33.33.70,SG,2023-02-28 20:46:35.686135,Not Processed due to DUPLICATE in past 7 days
203.205.159.17,SG,2023-02-28 20:46:35.689539,Not Processed due to DUPLICATE in past 7 days
104.89.118.22,SG,2023-02-28 20:46:35.692059,Not Processed due to DUPLICATE in past 7 days
52.76.156.186,SG,2023-02-28 20:46:35.694113,Not Processed due to DUPLICATE in past 7 days
52.77.93.191,SG,2023-02-28 20:46:35.697342,Not Processed due to DUPLICATE in past 7 days
17.253.61.216,SG,2023-02-28 20:46:35.699431,Not Processed due to DUPLICATE in past 7 days
157.240.13.48,SG,2023-02-28 20:46:35.701430,Not Processed due to DUPLICATE in past 7 days
139.99.45.37,SG,2023-02-28 20:46:35.703399,Not Processed due to DUPLICATE in past 7 days
23.52.171.137,SG,2023-02-28 20:46:35.705437,Not Processed due to DUPLICATE in past 7 days
17.248.164.44,SG,2023-02-28 20:46:35.707079,Not Processed due to DUPLICATE in past 7 days
150.109.90.118,SG,2023-02-28 20:46:35.710073,Not Processed due to DUPLICATE in past 7 days
203.116.175.122,SG,2023-02-28 20:46:35.712066,Not Processed due to DUPLICATE in past 7 days
17.253.61.215,SG,2023-02-28 20:46:35.715766,Not Processed due to DUPLICATE in past 7 days
172.217.194.132,SG,2023-02-28 20:46:35.718430,Not Processed due to DUPLICATE in past 7 days
52.111.240.11,SG,2023-02-28 20:46:35.720076,Not Processed due to DUPLICATE in past 7 days
51.79.158.73,SG,2023-02-28 20:46:35.722835,Not Processed due to DUPLICATE in past 7 days
184.50.97.221,SG,2023-02-28 20:46:35.725063,Not Processed due to DUPLICATE in past 7 days
116.0.81.227,SG,2023-02-28 20:46:35.727831,Not Processed due to DUPLICATE in past 7 days
13.251.233.244,SG,2023-02-28 20:46:35.729959,Not Processed due to DUPLICATE in past 7 days
52.84.251.86,SG,2023-02-28 20:46:35.732194,Not Processed due to DUPLICATE in past 7 days
101.32.143.30,SG,2023-02-28 20:46:35.735038,Not Processed due to DUPLICATE in past 7 days
184.87.193.72,SG,2023-02-28 20:46:35.737977,Not Processed due to DUPLICATE in past 7 days
13.33.33.108,SG,2023-02-28 20:46:35.740097,Not Processed due to DUPLICATE in past 7 days
74.125.68.153,SG,2023-02-28 20:46:35.741985,Not Processed due to DUPLICATE in past 7 days
156.246.18.131,SG,2023-02-28 20:46:35.745464,Not Processed due to DUPLICATE in past 7 days
18.141.43.183,SG,2023-02-28 20:46:35.747970,Not Processed due to DUPLICATE in past 7 days
104.69.107.45,SG,2023-02-28 20:46:35.751474,Not Processed due to DUPLICATE in past 7 days
184.31.4.207,SG,2023-02-28 20:46:35.753987,Not Processed due to DUPLICATE in past 7 days
17.248.154.5,SG,2023-02-28 20:46:35.756899,Not Processed due to DUPLICATE in past 7 days
17.248.154.22,SG,2023-02-28 20:46:35.759938,Not Processed due to DUPLICATE in past 7 days
116.87.189.216,SG,2023-02-28 20:46:35.762142,Not Processed due to DUPLICATE in past 7 days
17.248.154.39,SG,2023-02-28 20:46:35.763959,Not Processed due to DUPLICATE in past 7 days
17.248.164.102,SG,2023-02-28 20:46:35.766082,Not Processed due to DUPLICATE in past 7 days
17.253.61.203,SG,2023-02-28 20:46:35.768366,Not Processed due to DUPLICATE in past 7 days
103.231.98.196,SG,2023-02-28 20:46:35.770083,Not Processed due to DUPLICATE in past 7 days
124.155.222.26,SG,2023-02-28 20:46:35.772617,Not Processed due to DUPLICATE in past 7 days
13.33.33.51,SG,2023-02-28 20:46:35.774778,Not Processed due to DUPLICATE in past 7 days
54.192.150.13,SG,2023-02-28 20:46:35.776932,Not Processed due to DUPLICATE in past 7 days
13.33.100.132,SG,2023-02-28 20:46:35.778849,Not Processed due to DUPLICATE in past 7 days
91.108.56.173,SG,2023-02-28 20:46:35.781043,Not Processed due to DUPLICATE in past 7 days
52.76.163.242,SG,2023-02-28 20:46:35.783186,Not Processed due to DUPLICATE in past 7 days
180.87.173.16,SG,2023-02-28 20:46:35.785259,Not Processed due to DUPLICATE in past 7 days
103.155.16.178,SG,2023-02-28 20:46:35.787225,Not Processed due to DUPLICATE in past 7 days
103.207.108.98,SG,2023-02-28 20:46:35.789271,Not Processed due to DUPLICATE in past 7 days
157.240.7.16,SG,2023-02-28 20:46:35.791317,Not Processed due to DUPLICATE in past 7 days
169.150.243.3,SG,2023-02-28 20:46:35.793393,Not Processed due to DUPLICATE in past 7 days
52.139.250.209,SG,2023-02-28 20:46:35.795481,Not Processed due to DUPLICATE in past 7 days
13.227.254.102,SG,2023-02-28 20:46:35.797487,Not Processed due to DUPLICATE in past 7 days
157.240.15.63,SG,2023-02-28 20:46:35.799491,Not Processed due to DUPLICATE in past 7 days
46.51.219.70,SG,2023-02-28 20:46:35.800946,Not Processed due to DUPLICATE in past 7 days
106.10.186.200,SG,2023-02-28 20:46:35.803866,Not Processed due to DUPLICATE in past 7 days
159.138.91.5,SG,2023-02-28 20:46:35.805845,Not Processed due to DUPLICATE in past 7 days
119.74.176.84,SG,2023-02-28 20:46:35.807844,Not Processed due to DUPLICATE in past 7 days
13.33.33.6,SG,2023-02-28 20:46:35.809849,Not Processed due to DUPLICATE in past 7 days
144.126.242.176,SG,2023-02-28 20:46:35.810833,Not Processed due to DUPLICATE in past 7 days
104.69.96.220,SG,2023-02-28 20:46:35.813698,Not Processed due to DUPLICATE in past 7 days
23.195.121.150,SG,2023-02-28 20:46:35.814822,Not Processed due to DUPLICATE in past 7 days
157.240.7.6,SG,2023-02-28 20:46:35.817618,Not Processed due to DUPLICATE in past 7 days
13.215.82.183,SG,2023-02-28 20:46:35.819014,Not Processed due to DUPLICATE in past 7 days
143.244.33.161,SG,2023-02-28 20:46:35.821640,Not Processed due to DUPLICATE in past 7 days
18.136.42.214,SG,2023-02-28 20:46:35.823639,Not Processed due to DUPLICATE in past 7 days
46.137.229.114,SG,2023-02-28 20:46:35.825662,Not Processed due to DUPLICATE in past 7 days
125.56.199.43,SG,2023-02-28 20:46:35.827580,Not Processed due to DUPLICATE in past 7 days
23.210.250.82,SG,2023-02-28 20:46:35.829588,Not Processed due to DUPLICATE in past 7 days
184.31.4.201,SG,2023-02-28 20:46:35.831745,Not Processed due to DUPLICATE in past 7 days
52.221.15.231,SG,2023-02-28 20:46:35.833771,Not Processed due to DUPLICATE in past 7 days
125.56.199.9,SG,2023-02-28 20:46:35.835773,Not Processed due to DUPLICATE in past 7 days
13.33.33.60,SG,2023-02-28 20:46:35.838039,Not Processed due to DUPLICATE in past 7 days
23.47.190.123,SG,2023-02-28 20:46:35.840053,Not Processed due to DUPLICATE in past 7 days
203.116.175.115,SG,2023-02-28 20:46:35.842023,Not Processed due to DUPLICATE in past 7 days
17.248.164.198,SG,2023-02-28 20:46:35.844040,Not Processed due to DUPLICATE in past 7 days
