target_ip,target_geo_country,Time Run,Processed?
13.227.254.94,SG,2023-03-02 02:38:44.180064,Not Processed due to DUPLICATE in past 7 days
13.227.254.99,SG,2023-03-02 02:38:44.183088,Not Processed due to DUPLICATE in past 7 days
23.200.24.43,SG,2023-03-02 02:38:44.185083,Not Processed due to DUPLICATE in past 7 days
17.248.164.108,SG,2023-03-02 02:38:44.187079,Not Processed due to DUPLICATE in past 7 days
13.33.100.61,SG,2023-03-02 02:38:44.189075,Not Processed due to DUPLICATE in past 7 days
52.76.228.161,SG,2023-03-02 02:38:44.192066,Not Processed due to DUPLICATE in past 7 days
173.194.22.169,SG,2023-03-02 02:38:44.194059,Not Processed due to DUPLICATE in past 7 days
18.142.201.37,SG,2023-03-02 02:38:44.196055,Not Processed due to DUPLICATE in past 7 days
192.166.246.143,SG,2023-03-02 02:38:44.199046,Not Processed due to DUPLICATE in past 7 days
203.116.175.163,SG,2023-03-02 02:38:44.201041,Not Processed due to DUPLICATE in past 7 days
13.228.90.32,SG,2023-03-02 02:38:44.203036,Not Processed due to DUPLICATE in past 7 days
52.76.40.178,SG,2023-03-02 02:38:44.205030,Not Processed due to DUPLICATE in past 7 days
121.7.89.176,SG,2023-03-02 02:38:44.207025,Not Processed due to DUPLICATE in past 7 days
31.13.68.1,SG,2023-03-02 02:38:44.209020,Not Processed due to DUPLICATE in past 7 days
13.33.88.116,SG,2023-03-02 02:38:44.212012,Not Processed due to DUPLICATE in past 7 days
3.1.152.102,SG,2023-03-02 02:38:44.214007,Not Processed due to DUPLICATE in past 7 days
23.49.60.129,SG,2023-03-02 02:38:44.216002,Not Processed due to DUPLICATE in past 7 days
96.16.116.196,SG,2023-03-02 02:38:44.217995,Not Processed due to DUPLICATE in past 7 days
101.32.104.177,SG,2023-03-02 02:38:44.219991,Not Processed due to DUPLICATE in past 7 days
17.248.154.11,SG,2023-03-02 02:38:44.221985,Not Processed due to DUPLICATE in past 7 days
54.192.150.89,SG,2023-03-02 02:38:44.224946,Not Processed due to DUPLICATE in past 7 days
23.52.113.101,SG,2023-03-02 02:38:44.226977,Not Processed due to DUPLICATE in past 7 days
74.125.68.155,SG,2023-03-02 02:38:44.229964,Not Processed due to DUPLICATE in past 7 days
52.76.243.108,SG,2023-03-02 02:38:44.231959,Not Processed due to DUPLICATE in past 7 days
157.240.13.55,SG,2023-03-02 02:38:44.233953,Not Processed due to DUPLICATE in past 7 days
23.210.250.80,SG,2023-03-02 02:38:44.235947,Not Processed due to DUPLICATE in past 7 days
43.132.80.22,SG,2023-03-02 02:38:44.237942,Not Processed due to DUPLICATE in past 7 days
13.33.28.118,SG,2023-03-02 02:38:44.239943,Not Processed due to DUPLICATE in past 7 days
121.6.48.26,SG,2023-03-02 02:38:44.241931,Not Processed due to DUPLICATE in past 7 days
23.195.152.208,SG,2023-03-02 02:38:44.244109,Not Processed due to DUPLICATE in past 7 days
184.27.122.40,SG,2023-03-02 02:38:44.246918,Not Processed due to DUPLICATE in past 7 days
52.98.71.50,SG,2023-03-02 02:38:44.248914,Not Processed due to DUPLICATE in past 7 days
23.15.110.65,SG,2023-03-02 02:38:44.250908,Not Processed due to DUPLICATE in past 7 days
23.49.60.202,SG,2023-03-02 02:38:44.252905,Not Processed due to DUPLICATE in past 7 days
51.79.164.247,SG,2023-03-02 02:38:44.254897,Not Processed due to DUPLICATE in past 7 days
188.42.147.32,SG,2023-03-02 02:38:44.256891,Not Processed due to DUPLICATE in past 7 days
3.1.123.42,SG,2023-03-02 02:38:44.258887,Not Processed due to DUPLICATE in past 7 days
23.59.80.33,SG,2023-03-02 02:38:44.262845,Not Processed due to DUPLICATE in past 7 days
51.79.222.34,SG,2023-03-02 02:38:44.265836,Not Processed due to DUPLICATE in past 7 days
23.215.7.84,SG,2023-03-02 02:38:44.267831,Not Processed due to DUPLICATE in past 7 days
23.210.250.107,SG,2023-03-02 02:38:44.269826,Not Processed due to DUPLICATE in past 7 days
175.41.187.144,SG,2023-03-02 02:38:44.271853,Not Processed due to DUPLICATE in past 7 days
54.179.75.107,SG,2023-03-02 02:38:44.273846,Not Processed due to DUPLICATE in past 7 days
54.169.104.250,SG,2023-03-02 02:38:44.275970,Not Processed due to DUPLICATE in past 7 days
116.87.186.130,SG,2023-03-02 02:38:44.278834,Not Processed due to DUPLICATE in past 7 days
157.240.7.53,SG,2023-03-02 02:38:44.280827,Not Processed due to DUPLICATE in past 7 days
13.33.100.94,SG,2023-03-02 02:38:44.282823,Not Processed due to DUPLICATE in past 7 days
23.75.23.57,SG,2023-03-02 02:38:44.284786,Not Processed due to DUPLICATE in past 7 days
52.114.15.181,SG,2023-03-02 02:38:44.286781,Not Processed due to DUPLICATE in past 7 days
74.125.171.73,SG,2023-03-02 02:38:44.288776,Not Processed due to DUPLICATE in past 7 days
203.116.175.171,SG,2023-03-02 02:38:44.291766,Not Processed due to DUPLICATE in past 7 days
54.192.150.44,SG,2023-03-02 02:38:44.293760,Not Processed due to DUPLICATE in past 7 days
18.136.86.75,SG,2023-03-02 02:38:44.295793,Not Processed due to DUPLICATE in past 7 days
52.84.251.9,SG,2023-03-02 02:38:44.297782,Not Processed due to DUPLICATE in past 7 days
203.116.175.32,SG,2023-03-02 02:38:44.299777,Not Processed due to DUPLICATE in past 7 days
104.69.163.61,SG,2023-03-02 02:38:44.301772,Not Processed due to DUPLICATE in past 7 days
180.87.173.16,SG,2023-03-02 02:38:44.303767,Not Processed due to DUPLICATE in past 7 days
17.248.154.17,SG,2023-03-02 02:38:44.305761,Not Processed due to DUPLICATE in past 7 days
54.192.150.12,SG,2023-03-02 02:38:44.308755,Not Processed due to DUPLICATE in past 7 days
13.33.88.87,SG,2023-03-02 02:38:44.310748,Not Processed due to DUPLICATE in past 7 days
51.79.165.204,SG,2023-03-02 02:38:44.312742,Not Processed due to DUPLICATE in past 7 days
104.69.163.60,SG,2023-03-02 02:38:44.314706,Not Processed due to DUPLICATE in past 7 days
104.69.32.93,SG,2023-03-02 02:38:44.316701,Not Processed due to DUPLICATE in past 7 days
17.248.164.45,SG,2023-03-02 02:38:44.318696,Not Processed due to DUPLICATE in past 7 days
52.77.133.180,SG,2023-03-02 02:38:44.320690,Not Processed due to DUPLICATE in past 7 days
23.220.203.115,SG,2023-03-02 02:38:44.323680,Not Processed due to DUPLICATE in past 7 days
89.187.163.193,SG,2023-03-02 02:38:44.325675,Not Processed due to DUPLICATE in past 7 days
52.220.33.166,SG,2023-03-02 02:38:44.327669,Not Processed due to DUPLICATE in past 7 days
54.251.192.147,SG,2023-03-02 02:38:44.330661,Not Processed due to DUPLICATE in past 7 days
23.54.56.156,SG,2023-03-02 02:38:44.332656,Not Processed due to DUPLICATE in past 7 days
3.1.149.134,SG,2023-03-02 02:38:44.334651,Not Processed due to DUPLICATE in past 7 days
104.83.197.140,SG,2023-03-02 02:38:44.336645,Not Processed due to DUPLICATE in past 7 days
23.73.13.201,SG,2023-03-02 02:38:44.338640,Not Processed due to DUPLICATE in past 7 days
167.71.195.165,SG,2023-03-02 02:38:44.340635,Not Processed due to DUPLICATE in past 7 days
23.59.80.224,SG,2023-03-02 02:38:44.342629,Not Processed due to DUPLICATE in past 7 days
52.74.88.135,SG,2023-03-02 02:38:44.344626,Not Processed due to DUPLICATE in past 7 days
129.227.82.185,SG,2023-03-02 02:38:44.346619,Not Processed due to DUPLICATE in past 7 days
89.187.162.21,SG,2023-03-02 02:38:44.348613,Not Processed due to DUPLICATE in past 7 days
51.79.130.26,SG,2023-03-02 02:38:44.350608,Not Processed due to DUPLICATE in past 7 days
17.248.154.3,SG,2023-03-02 02:38:44.353600,Not Processed due to DUPLICATE in past 7 days
43.132.80.244,SG,2023-03-02 02:38:44.356594,Not Processed due to DUPLICATE in past 7 days
17.248.164.12,SG,2023-03-02 02:38:44.360585,Not Processed due to DUPLICATE in past 7 days
54.192.150.36,SG,2023-03-02 02:38:44.363576,Not Processed due to DUPLICATE in past 7 days
165.21.111.145,SG,2023-03-02 02:38:44.367115,Not Processed due to DUPLICATE in past 7 days
20.190.163.29,SG,2023-03-02 02:38:44.370557,Not Processed due to DUPLICATE in past 7 days
23.5.165.18,SG,2023-03-02 02:38:44.374544,Not Processed due to DUPLICATE in past 7 days
3.1.15.205,SG,2023-03-02 02:38:44.377537,Not Processed due to DUPLICATE in past 7 days
17.248.164.82,SG,2023-03-02 02:38:44.380589,Not Processed due to DUPLICATE in past 7 days
101.33.26.124,SG,2023-03-02 02:38:44.384519,Not Processed due to DUPLICATE in past 7 days
103.151.126.72,SG,2023-03-02 02:38:44.387815,Not Processed due to DUPLICATE in past 7 days
103.231.98.195,SG,2023-03-02 02:38:44.391499,Not Processed due to DUPLICATE in past 7 days
13.33.88.101,SG,2023-03-02 02:38:44.394491,Not Processed due to DUPLICATE in past 7 days
18.142.135.199,SG,2023-03-02 02:38:44.397483,Not Processed due to DUPLICATE in past 7 days
150.109.90.54,SG,2023-03-02 02:38:44.399477,Not Processed due to DUPLICATE in past 7 days
116.87.131.164,SG,2023-03-02 02:38:44.401472,Not Processed due to DUPLICATE in past 7 days
52.98.90.178,SG,2023-03-02 02:38:44.403467,Not Processed due to DUPLICATE in past 7 days
17.248.164.47,SG,2023-03-02 02:38:44.405462,Not Processed due to DUPLICATE in past 7 days
116.14.207.20,SG,2023-03-02 02:38:44.408489,Not Processed due to DUPLICATE in past 7 days
184.27.122.48,SG,2023-03-02 02:38:44.410482,Not Processed due to DUPLICATE in past 7 days
52.84.251.24,SG,2023-03-02 02:38:44.412479,Not Processed due to DUPLICATE in past 7 days
17.253.61.220,SG,2023-03-02 02:38:44.414471,Not Processed due to DUPLICATE in past 7 days
101.33.26.140,SG,2023-03-02 02:38:44.417462,Not Processed due to DUPLICATE in past 7 days
13.227.254.35,SG,2023-03-02 02:38:44.419463,Not Processed due to DUPLICATE in past 7 days
31.13.68.34,SG,2023-03-02 02:38:44.421452,Not Processed due to DUPLICATE in past 7 days
103.1.138.196,SG,2023-03-02 02:38:44.423414,Not Processed due to DUPLICATE in past 7 days
13.35.18.228,SG,2023-03-02 02:38:44.425441,Not Processed due to DUPLICATE in past 7 days
117.121.250.156,SG,2023-03-02 02:38:44.427403,Not Processed due to DUPLICATE in past 7 days
40.99.10.66,SG,2023-03-02 02:38:44.430428,Not Processed due to DUPLICATE in past 7 days
54.192.151.123,SG,2023-03-02 02:38:44.432392,Not Processed due to DUPLICATE in past 7 days
20.212.128.44,SG,2023-03-02 02:38:44.434386,Not Processed due to DUPLICATE in past 7 days
52.220.200.42,SG,2023-03-02 02:38:44.436381,Not Processed due to DUPLICATE in past 7 days
54.192.150.58,SG,2023-03-02 02:38:44.438376,Not Processed due to DUPLICATE in past 7 days
3.0.25.35,SG,2023-03-02 02:38:44.440370,Not Processed due to DUPLICATE in past 7 days
13.33.33.53,SG,2023-03-02 02:38:44.442365,Not Processed due to DUPLICATE in past 7 days
13.33.100.30,SG,2023-03-02 02:38:44.445355,Not Processed due to DUPLICATE in past 7 days
23.39.12.48,SG,2023-03-02 02:38:44.447473,Not Processed due to DUPLICATE in past 7 days
203.117.35.17,SG,2023-03-02 02:38:44.449346,Not Processed due to DUPLICATE in past 7 days
40.119.249.228,SG,2023-03-02 02:38:44.451340,Not Processed due to DUPLICATE in past 7 days
72.247.81.153,SG,2023-03-02 02:38:44.453335,Not Processed due to DUPLICATE in past 7 days
